name,lat,lng,district
北京大学深圳医院,22.56236,114.055656,福田区
香港大学深圳医院,22.531953,114.002664,福田区
深圳市第二人民医院,22.563052,114.092161,福田区
深圳市中医院,22.542855,114.092006,福田区
深圳市妇幼保健院,22.555721,114.100646,福田区
深圳市妇幼保健院(福强院区),22.524347,114.055381,福田区
深圳市儿童医院,22.55331,114.060789,福田区
深圳市眼科医院,22.552382,114.020783,福田区
中山大学附属第八医院,22.544356,114.086159,福田区
广州中医药大学深圳医院(福田),22.565023,114.048841,福田区
深圳市福田区第二人民医院,22.57215,114.06545,福田区
深圳市中医肛肠医院,22.541777,114.100913,福田区
深圳口岸医院,22.533931,114.086135,福田区
深圳爱尔眼科医院,22.540942,114.094064,福田区
深圳华厦眼科医院,22.559986,114.048311,福田区
深圳欢乐口腔医院,22.545597,114.1033,福田区
深圳景田医院,22.555173,114.048692,福田区
深圳市人民医院,22.563688,114.134149,罗湖区
宝安中医院针灸康复医院,22.588993,113.907006,宝安区
深圳市康宁医院(罗湖院区),22.570543,114.137226,罗湖区
深圳市罗湖区人民医院,22.544243,114.12857,罗湖区
罗湖区中医院,22.571766,114.187274,罗湖区
深圳市罗湖区妇幼保健院,22.582499,114.143203,罗湖区
深圳平乐骨伤科医院,22.544925,114.113779,罗湖区
深圳出入境边防检查总站医院,22.579798,114.109342,罗湖区
深圳远东妇产医院,22.549821,114.130324,罗湖区
深圳爱康健口腔医院,22.539104,114.124056,罗湖区
深圳怡康妇产医院,22.557356,114.117901,罗湖区
深圳市盐田区人民医院,22.563947,114.240054,盐田区
深圳市盐田区妇幼保健院,22.55769,114.243282,盐田区
深圳大学总医院,22.600715,113.993909,南山区
中国医学科学院阜外医院深圳医院,22.562695,113.954329,南山区
深圳市南山区人民医院,22.536521,113.930025,南山区
深圳市蛇口人民医院,22.502522,113.928415,南山区
南方科技大学医院,22.585436,113.956122,南山区
深圳市南山区妇幼保健院,22.492977,113.937049,南山区
深圳美中宜和妇产医院,22.532153,113.925238,南山区
深圳美奥口腔医院,22.525289,113.934778,南山区
南方医科大学深圳医院,22.550249,113.902702,宝安区
深圳市宝安区人民医院,22.567707,113.921362,宝安区
深圳市宝安第二人民医院(集团)总医院,22.738427,113.811758,宝安区
深圳市龙岗区第三人民医院,22.654336,114.219328,龙岗区
宝安中医院(集团),22.578495,113.906875,宝安区
深圳市中西医结合医院,22.738425,113.811866,宝安区
深圳市宝安区妇幼保健院,22.568263,113.883182,宝安区
深圳市宝安区中心医院,22.586247,113.88643,宝安区
宝安纯中医治疗医院,22.612493,113.877517,宝安区
深圳恒生医院,22.582857,113.858685,宝安区
深圳万丰医院,22.728618,113.835001,宝安区
深圳同仁妇产医院,22.58178,113.87808,宝安区
深圳宝生妇产医院,22.587203,113.902174,宝安区
深圳宝城口腔医院,22.581011,113.878838,宝安区
天元中医肛肠医院,22.599727,113.885595,宝安区
深圳深业康复医院,22.631169,113.870981,宝安区
深圳市第三人民医院,22.641587,114.135223,龙岗区
中国医学科学院肿瘤医院深圳医院,22.700673,114.257151,龙岗区
深圳市龙岗中心医院,22.741464,114.28974,龙岗区
龙岗区妇幼保健院,22.734524,114.241221,龙岗区
深圳市龙岗区人民医院,22.732691,114.234344,龙岗区
龙岗区第二人民医院,22.611885,114.122209,龙岗区
深圳市龙岗区第四人民医院,22.602561,114.146974,龙岗区
深圳市龙岗区第五人民医院,22.704493,114.137018,龙岗区
深圳市龙岗区第六人民医院,22.786157,114.323033,龙岗区
龙岗区第七人民医院新洲社区健康服务中心,22.631075,114.161253,龙岗区
北京中医药大学深圳医院,22.713485,114.222276,龙岗区
深圳市龙岗区骨科医院(宝龙院区),22.701675,114.316739,龙岗区
深圳市龙岗区耳鼻咽喉医院,22.715313,114.251152,龙岗区
深圳龙城医院,22.70951,114.237755,龙岗区
深圳华侨医院,22.69367,114.150359,龙岗区
深圳肖传国医院,22.66245,114.077292,龙岗区
深圳港龙妇产医院,22.716213,114.251942,龙岗区
深圳六联妇产医院,22.64938,114.200027,龙岗区
深圳远东妇产医院(龙岗妇产医院),22.645318,114.078037,龙岗区
深圳市人民医院龙华分院,22.670966,114.030186,龙华区
深圳市龙华区人民医院,22.661899,114.039747,龙华区
深圳市龙华区中心医院,22.718858,114.0526,龙华区
深圳市龙华区妇幼保健院,22.677923,113.998828,龙华区
深圳军龙医院,22.672847,114.031266,龙华区
深圳市儿童医院-南门,22.552484,114.060645,福田区
深圳市康宁医院(坪山院区),22.668479,114.311056,坪山区
深圳市萨米国际医疗中心(深圳市第四人民医院),22.710461,114.384574,坪山区
南方医科大学深圳口腔医院(坪山),22.69242,114.370677,坪山区
深圳平乐骨伤科医院(坪山院区),22.745152,114.36907,坪山区
深圳市坪山区人民医院,22.693793,114.357572,坪山区
中山大学附属第七医院,22.792243,113.958511,光明区
中国科学院大学深圳医院(东院区),22.757595,113.950592,光明区
深圳市光明区妇幼保健院门诊部,22.766232,113.942375,光明区
深圳市大鹏新区葵涌人民医院,22.637828,114.4287,龙岗区
深圳市大鹏新区妇幼保健院,22.601096,114.492024,龙岗区
深圳市大鹏新区南澳人民医院,22.540364,114.500833,龙岗区
