name,lat,lng,district
罗湖,22.537936,114.125317,地铁1号线
国贸,22.546055,114.125156,地铁1号线
老街,22.55087,114.122738,地铁1号线;地铁3号线
大剧院,22.547971,114.114678,地铁1号线;地铁2号线;地铁8号线
科学馆,22.546109,114.102113,地铁1号线;地铁6号线
华强路,22.546355,114.09171,地铁1号线
岗厦地铁站,22.540518,114.072207,3路;38路;62路;63路;80路;E10路;E20路;M198路;M224路;M329路;高峰专线23路;高峰专线29号;高快巴士27路
会展中心,22.540331,114.067692,地铁1号线;地铁4号线
购物公园,22.540108,114.060562,地铁1号线;地铁3号线
香蜜湖,22.544666,114.045221,地铁1号线
车公庙,22.541996,114.03365,地铁11号线;地铁1号线;地铁7号线;地铁9号线
竹子林,22.539593,114.020418,地铁1号线
侨城东,22.538687,114.003193,地铁1号线
华侨城,22.539709,113.991722,地铁1号线
世界之窗,22.542891,113.980583,地铁1号线;地铁2号线;地铁8号线
白石洲,22.545597,113.973369,地铁1号线
高新园,22.546035,113.960423,地铁1号线
深大,22.54387,113.950339,地铁1号线
桃园,22.538089,113.931322,地铁1号线
大新,22.538102,113.921714,地铁1号线
鲤鱼门,22.538211,113.909832,地铁1号线
前海湾,22.542733,113.904232,地铁11号线;地铁1号线;地铁5号线
新安,22.553954,113.900891,地铁1号线
宝安中心,22.560836,113.893654,地铁1号线;地铁5号线
宝体,22.566541,113.887784,地铁1号线
坪洲,22.575276,113.877227,地铁1号线
西乡,22.581735,113.869117,地铁1号线
固戍,22.60669,113.853605,地铁1号线
后瑞,22.634498,113.842017,地铁1号线
机场东,22.652709,113.829258,地铁1号线
赤湾,22.485483,113.904203,地铁2号线;地铁5号线;地铁8号线
蛇口港,22.4826,113.918663,地铁2号线;地铁8号线
海上世界,22.491116,113.92165,地铁2号线;地铁8号线
水湾,22.494247,113.926343,地铁2号线;地铁8号线
东角头,22.491948,113.93766,地铁2号线;地铁8号线
湾厦,22.499032,113.945229,地铁2号线;地铁8号线
海月,22.505611,113.944315,地铁2号线;地铁8号线
登良,22.514872,113.944351,地铁2号线;地铁8号线
后海,22.523707,113.947799,地铁11号线;地铁2号线;地铁8号线
科苑,22.532669,113.953068,地铁2号线;地铁8号线
红树湾,22.531056,113.975165,地铁2号线;地铁8号线
世界之窗,22.542891,113.980583,地铁1号线;地铁2号线;地铁8号线
侨城北,22.55044,113.995854,地铁2号线;地铁8号线
深康,22.552827,114.005578,地铁2号线;地铁8号线
安托山,22.554985,114.012557,地铁2号线;地铁7号线;地铁8号线
侨香,22.555923,114.020839,地铁2号线;地铁8号线
香蜜,22.558811,114.030406,地铁2号线;地铁8号线
香梅北,22.560118,114.039793,地铁2号线;地铁8号线
景田,22.559418,114.05003,地铁2号线;地铁8号线;地铁9号线
莲花西,22.55248,114.056665,地铁2号线;地铁8号线
福田,22.545641,114.060784,地铁11号线;地铁2号线;地铁3号线;地铁8号线
市民中心,22.546784,114.067844,地铁2号线;地铁4号线;地铁8号线
岗厦北,22.546799,114.075212,地铁10号线;地铁2号线;地铁8号线
华强北,22.549777,114.092509,地铁2号线;地铁7号线;地铁8号线
燕南,22.550472,114.098596,地铁2号线;地铁8号线
大剧院,22.547971,114.114678,地铁1号线;地铁2号线;地铁8号线
湖贝,22.550606,114.13172,地铁2号线;地铁8号线
黄贝岭,22.552284,114.142497,地铁2号线;地铁5号线;地铁8号线
新秀,22.553693,114.155465,地铁2号线;地铁8号线
莲塘口岸,22.559303,114.161879,地铁2号线;地铁8号线
仙湖路,22.569759,114.172875,地铁2号线;地铁8号线
莲塘,22.5698,114.181004,地铁2号线;地铁8号线
福保,22.513825,114.062486,地铁3号线
益田,22.522049,114.057673,地铁3号线
石厦,22.52906,114.060299,地铁3号线;地铁7号线
购物公园,22.540108,114.060562,地铁1号线;地铁3号线
福田,22.545641,114.060784,地铁11号线;地铁2号线;地铁3号线;地铁8号线
少年宫,22.55368,114.067013,地铁3号线;地铁4号线
莲花村,22.554522,114.074512,地铁10号线;地铁3号线
华新,22.554929,114.093238,地铁3号线;地铁7号线
通新岭,22.554809,114.102685,地铁3号线;地铁6号线
红岭,22.555001,114.110308,地铁3号线;地铁9号线
老街,22.55087,114.122738,地铁1号线;地铁3号线
晒布,22.555685,114.129194,地铁3号线
翠竹,22.562698,114.136556,地铁3号线
田贝,22.573393,114.136069,地铁3号线;地铁7号线
水贝,22.580283,114.131382,地铁3号线
草埔,22.590896,114.122825,地铁3号线
布吉,22.608013,114.128027,地铁3号线;地铁5号线
木棉湾,22.613348,114.136866,地铁3号线
大芬,22.620295,114.144786,地铁3号线
丹竹头,22.625729,114.154568,地铁3号线
六约,22.639974,114.1873,地铁3号线
塘坑,22.644976,114.199302,地铁3号线
横岗,22.65441,114.215408,地铁3号线
永湖,22.665032,114.224489,地铁3号线
荷坳,22.67936,114.23075,地铁3号线
大运,22.692046,114.234616,地铁3号线
爱联,22.703997,114.240852,地铁3号线
吉祥,22.716031,114.250865,地铁3号线
龙城广场,22.723214,114.26094,地铁3号线
南联,22.728121,114.272271,地铁3号线
双龙,22.734723,114.284105,地铁3号线
牛湖,22.73055,114.095683,地铁4号线
观澜湖,22.727468,114.082981,地铁4号线
松元厦,22.726785,114.071452,地铁4号线
观澜,22.72097,114.061443,地铁4号线
长湖,22.716443,114.051321,地铁4号线
茜坑,22.703112,114.047637,地铁4号线
竹村,22.692586,114.046811,地铁4号线
清湖北,22.67801,114.04696,地铁4号线
清湖,22.669994,114.0431,地铁4号线
龙华,22.657782,114.02894,地铁4号线
龙胜,22.651062,114.018852,地铁4号线
上塘,22.643199,114.019211,地铁4号线
红山,22.627971,114.029976,地铁4号线;地铁6号线
深圳北站,22.616667,114.037138,地铁4号线;地铁5号线;地铁6号线
白石龙,22.607264,114.049182,地铁4号线
民乐,22.600182,114.055133,地铁4号线
上梅林,22.575174,114.066543,地铁4号线;地铁9号线
莲花北,22.566216,114.065949,地铁4号线
少年宫,22.55368,114.067013,地铁3号线;地铁4号线
市民中心,22.546784,114.067844,地铁2号线;地铁4号线;地铁8号线
会展中心,22.540331,114.067692,地铁1号线;地铁4号线
福民,22.529772,114.072814,地铁10号线;地铁4号线;地铁7号线
福田口岸,22.521671,114.07583,地铁4号线
黄贝岭,22.552284,114.142497,地铁2号线;地铁5号线;地铁8号线
怡景,22.562029,114.146592,地铁5号线
太安,22.579697,114.143568,地铁5号线;地铁7号线
布心,22.587239,114.144521,地铁5号线
百鸽笼,22.601728,114.136855,地铁5号线
布吉,22.608013,114.128027,地铁3号线;地铁5号线
长龙,22.614274,114.120431,地铁5号线
下水径,22.62123,114.117164,地铁5号线
上水径,22.627942,114.111884,地铁5号线
杨美,22.632634,114.086573,地铁5号线
坂田,22.633264,114.077406,地铁5号线
五和,22.632054,114.067291,地铁10号线;地铁5号线
民治,22.623459,114.047419,地铁5号线
深圳北站,22.616667,114.037138,地铁4号线;地铁5号线;地铁6号线
长岭陂,22.605556,114.016794,地铁5号线
塘朗,22.596454,114.006482,地铁5号线
大学城,22.588416,113.972166,地铁5号线
西丽,22.586456,113.960285,地铁5号线;地铁7号线
留仙洞,22.586132,113.950414,地铁5号线
兴东,22.587478,113.925339,地铁5号线
洪浪北,22.580576,113.917157,地铁5号线
灵芝,22.5754,113.910988,地铁5号线
翻身,22.566009,113.899729,地铁5号线
宝安中心,22.560836,113.893654,地铁1号线;地铁5号线
宝华,22.556037,113.891433,地铁5号线
临海,22.550297,113.895487,地铁5号线
前海湾,22.542733,113.904232,地铁11号线;地铁1号线;地铁5号线
桂湾,22.538174,113.904268,地铁5号线
前湾,22.528421,113.902289,地铁5号线;地铁9号线
前湾公园,22.522213,113.895803,地铁5号线
妈湾,22.513829,113.892659,地铁5号线
铁路公园,22.509597,113.896351,地铁5号线
荔湾,22.503907,113.900135,地铁5号线
赤湾,22.485483,113.904203,地铁2号线;地铁5号线;地铁8号线
科学馆,22.546109,114.102113,地铁1号线;地铁6号线
通新岭,22.554809,114.102685,地铁3号线;地铁6号线
体育中心,22.560866,114.102186,地铁6号线
八卦岭,22.567229,114.100836,地铁6号线;地铁7号线
银湖,22.574309,114.096286,地铁6号线;地铁9号线
翰岭,22.579926,114.07578,地铁6号线
梅林关,22.600114,114.059906,地铁6号线
深圳北站,22.616667,114.037138,地铁4号线;地铁5号线;地铁6号线
红山,22.627971,114.029976,地铁4号线;地铁6号线
上芬,22.64653,114.023107,地铁6号线
元芬,22.662456,114.011669,地铁6号线
阳台山东,22.674118,113.997912,地铁6号线
官田,22.688931,113.95614,地铁6号线
上屋,22.694669,113.945418,地铁6号线
长圳,22.732143,113.937313,地铁6号线
凤凰城,22.753067,113.939407,地铁6号线
光明大街,22.767769,113.949441,地铁6号线
光明,22.777384,113.951588,地铁6号线
科学公园,22.783155,113.940787,地铁6号线
楼村,22.781794,113.929808,地铁6号线
红花山,22.783621,113.914446,地铁6号线
公明广场,22.783783,113.897782,地铁6号线
合水口,22.787876,113.887685,地铁6号线
薯田埔,22.787238,113.874398,地铁6号线
松岗公园,22.783877,113.85487,地铁6号线
溪头,22.780543,113.844475,地铁6号线
松岗,22.777998,113.836299,地铁11号线;地铁6号线
西丽湖,22.599603,113.97218,地铁7号线
西丽,22.586456,113.960285,地铁5号线;地铁7号线
茶光,22.579749,113.960895,地铁7号线
珠光,22.574117,113.966916,地铁7号线
龙井,22.570046,113.981313,地铁7号线
桃源村,22.56619,113.988291,地铁7号线
深云,22.562734,114.000345,地铁7号线
安托山,22.554985,114.012557,地铁2号线;地铁7号线;地铁8号线
农林,22.546682,114.02481,地铁7号线
车公庙,22.541996,114.03365,地铁11号线;地铁1号线;地铁7号线;地铁9号线
上沙,22.530495,114.042117,地铁7号线
沙尾,22.526598,114.049088,地铁7号线
石厦,22.52906,114.060299,地铁3号线;地铁7号线
皇岗村,22.528766,114.066239,地铁7号线
福民,22.529772,114.072814,地铁10号线;地铁4号线;地铁7号线
皇岗口岸,22.527096,114.081006,地铁7号线
福民,22.529772,114.072814,地铁10号线;地铁4号线;地铁7号线
赤尾,22.537705,114.090351,地铁7号线
华强南,22.543237,114.093342,地铁7号线
华强北,22.549777,114.092509,地铁2号线;地铁7号线;地铁8号线
华新,22.554929,114.093238,地铁3号线;地铁7号线
黄木岗,22.561766,114.09363,地铁7号线
八卦岭,22.567229,114.100836,地铁6号线;地铁7号线
红岭北,22.568287,114.110793,地铁7号线;地铁9号线
笋岗,22.569697,114.117667,地铁7号线
洪湖,22.572462,114.129292,地铁7号线
田贝,22.573393,114.136069,地铁3号线;地铁7号线
太安,22.579697,114.143568,地铁5号线;地铁7号线
梧桐山南,22.563193,114.189988,地铁2号线;地铁8号线
沙头角地铁站,22.560659,114.227811,308路;M191路;M199路;M205路;M314路;M437路;M520路
地铁站(壹海城店),22.560978,114.245588,深圳市盐田区海山街道鹏湾社区沙头角中心深盐路与海山路交汇处壹海城F1
盐田港西,22.568848,114.253226,地铁2号线;地铁8号线
深外高中,22.590081,114.25109,地铁2号线;地铁8号线
盐田路,22.595048,114.262083,地铁2号线;地铁8号线
前湾,22.528421,113.902289,地铁5号线;地铁9号线
梦海,22.52524,113.905347,地铁9号线
怡海,22.521524,113.909349,地铁9号线
荔林,22.517793,113.919798,地铁9号线
南油西,22.514926,113.924927,地铁9号线
南油,22.516242,113.932512,地铁9号线
南山书城,22.524104,113.934721,地铁9号线
深大南,22.531501,113.94211,地铁9号线
粤海门,22.538384,113.952227,地铁9号线
高新南,22.538486,113.958433,地铁9号线
红树湾南,22.529139,113.977916,地铁11号线;地铁9号线
深湾,22.529393,113.985122,地铁9号线
深圳湾公园,22.528017,113.999711,地铁9号线
下沙,22.535251,114.030928,地铁9号线
车公庙,22.541996,114.03365,地铁11号线;地铁1号线;地铁7号线;地铁9号线
香梅,22.551296,114.046121,地铁9号线
景田,22.559418,114.05003,地铁2号线;地铁8号线;地铁9号线
梅景,22.56643,114.044492,地铁9号线
下梅林,22.571368,114.048023,地铁9号线
梅村,22.574203,114.059035,地铁9号线
上梅林,22.575174,114.066543,地铁4号线;地铁9号线
孖岭,22.573885,114.074247,地铁10号线;地铁9号线
银湖,22.574309,114.096286,地铁6号线;地铁9号线
泥岗,22.573718,114.104372,地铁9号线
红岭北,22.568287,114.110793,地铁7号线;地铁9号线
园岭,22.562236,114.110895,地铁9号线
红岭,22.555001,114.110308,地铁3号线;地铁9号线
红岭南,22.546031,114.111215,地铁9号线
鹿丹村,22.541664,114.115457,地铁9号线
人民南,22.541763,114.124486,地铁9号线
向西村,22.546172,114.132273,地铁9号线
文锦,22.548714,114.137445,地铁9号线
福田口岸,22.521671,114.07583,地铁4号线
福民,22.529772,114.072814,地铁10号线;地铁4号线;地铁7号线
岗厦地铁站,22.540518,114.072207,3路;38路;62路;63路;80路;E10路;E20路;M198路;M224路;M329路;高峰专线23路;高峰专线29号;高快巴士27路
岗厦北,22.546799,114.075212,地铁10号线;地铁2号线;地铁8号线
莲花村,22.554522,114.074512,地铁10号线;地铁3号线
冬瓜岭,22.565792,114.074191,地铁10号线
孖岭,22.573885,114.074247,地铁10号线;地铁9号线
雅宝,22.609073,114.06687,地铁10号线
南坑,22.61661,114.067048,地铁10号线
光雅园,22.622193,114.06744,地铁10号线
五和,22.632054,114.067291,地铁10号线;地铁5号线
坂田北,22.640759,114.069957,地铁10号线
贝尔路,22.647312,114.072963,地铁10号线
华为,22.65625,114.073896,地铁10号线
岗头,22.662603,114.078351,地铁10号线
雪象,22.66208,114.086485,地铁10号线
甘坑,22.653966,114.112476,地铁10号线
凉帽山,22.652839,114.1253,地铁10号线
上李朗,22.660266,114.133527,地铁10号线
木古,22.676506,114.128906,地铁10号线
华南城,22.682557,114.128699,地铁10号线
禾花,22.692145,114.12755,地铁10号线
平湖,22.699925,114.132448,地铁10号线
双拥街,22.704901,114.139355,地铁10号线
福田,22.545641,114.060784,地铁11号线;地铁2号线;地铁3号线;地铁8号线
车公庙,22.541996,114.03365,地铁11号线;地铁1号线;地铁7号线;地铁9号线
红树湾南,22.529139,113.977916,地铁11号线;地铁9号线
后海,22.523707,113.947799,地铁11号线;地铁2号线;地铁8号线
南山,22.52975,113.93043,地铁11号线
前海湾,22.542733,113.904232,地铁11号线;地铁1号线;地铁5号线
宝安,22.56102,113.886846,地铁11号线
碧海湾,22.581116,113.862751,地铁11号线
机场,22.629272,113.820643,地铁11号线
机场北,22.6573,113.804835,地铁11号线;地铁20号线
福永,22.679392,113.812576,地铁11号线
桥头,22.693717,113.817459,地铁11号线
塘尾,22.707808,113.824469,地铁11号线
马安山,22.722572,113.823606,地铁11号线
沙井,22.736069,113.830973,地铁11号线
后亭,22.758302,113.833406,地铁11号线
松岗,22.777998,113.836299,地铁11号线;地铁6号线
碧头,22.790312,113.826539,地铁11号线
新澜,22.720441,114.061883,龙华有轨电车1路
石角头,22.716702,114.063609,深圳市龙华区
河东,22.575025,113.886817,338路;610路;615路;E36路;M194路;M259路;M358路;M382路;M400路;M469路;M483路;M522路;M527路;M530路;高峰专线31路;高峰专线56号;高峰专线72路;旅游9线
大布头,22.71022,114.072284,龙华有轨电车1路
观城,22.707091,114.068804,B769路;龙华有轨电车1路
河西,22.711454,114.061354,广东省深圳市龙华区河观路
锦鲤,22.707104,114.056136,B769路;龙华有轨电车1路
丰滢世纪广场,22.512016,113.929289,广东省深圳市南山区东滨路4036号丰滢世纪广场F1
大和村,22.700221,114.057572,广东省深圳市龙华区观湖街道润城社区大和路(观澜天虹商场对面)
文澜,22.692166,114.05607,龙华有轨电车1路;龙华有轨电车2路
碧澜,22.68918,114.055926,龙华有轨电车1路;龙华有轨电车2路
梅龙北,22.681718,114.054802,龙华有轨电车1路;龙华有轨电车2路
清湖学校,22.676533,114.051161,龙华有轨电车1路;龙华有轨电车2路
清龙,22.671018,114.049126,龙华有轨电车1路;龙华有轨电车2路
清湖,22.669994,114.0431,地铁4号线
大和村,22.700221,114.057572,广东省深圳市龙华区观湖街道润城社区大和路(观澜天虹商场对面)
东庵,22.69342,114.055736,深圳市龙华区大和路
高新区西,22.694732,114.065575,龙华有轨电车2路
深圳高新区,22.554412,113.947664,高新中一道9号附近
高新区东,22.695181,114.07761,龙华有轨电车2路
下围村,22.694257,114.082742,广东省深圳市龙华区下围南六巷5-2号附近
