,name,lat,lng,district
0,福田红树林生态公园,22.516544,114.046887,福田区
1,皇岗公园,22.523863,114.06455,福田区
2,深圳中心公园,22.558082,114.084904,福田区
3,笔架山公园,22.568123,114.086519,福田区
4,荔枝公园,22.551853,114.109029,福田区
5,莲花山公园,22.559257,114.065193,福田区
6,彩田公园,22.568549,114.071409,福田区
7,市民广场,22.547179,114.06616,福田区
8,梅林山公园,22.56798,114.036586,福田区
9,深圳革命烈士陵园,22.572599,114.075668,福田区
10,禾镰坑水库,22.563054,114.019524,福田区
11,香蜜公园,22.55278,114.028539,福田区
12,深圳国际园林花卉博览园,22.544055,114.009914,福田区
13,深圳市儿童乐园,22.549651,114.017029,福田区
14,翠竹公园,22.570007,114.140833,罗湖区
15,园科公园,22.564309,114.141761,罗湖区
16,深圳仙湖植物园,22.582212,114.182036,罗湖区
17,人民公园,22.55949,114.12365,罗湖区
18,深圳市儿童公园,22.559966,114.130772,罗湖区
19,深圳市围岭公园,22.589951,114.133772,罗湖区
20,罗芳苑,22.553151,114.15406,罗湖区
21,东湖公园,22.569908,114.155375,罗湖区
22,仙桐体育公园,22.566965,114.191506,罗湖区
23,红岗公园,22.582078,114.120845,罗湖区
24,洪湖公园,22.572204,114.12688,罗湖区
25,华侨城国家湿地公园,22.533806,113.989416,南山区
26,燕晗山郊野公园,22.548673,113.991404,南山区
27,荔林公园,22.514615,113.916652,南山区
28,月亮湾公园,22.507011,113.905251,南山区
29,青青世界,22.505034,113.906927,南山区
30,南山公园,22.500143,113.912003,南山区
31,小南山公园,22.49181,113.891606,南山区
32,中山公园,22.553583,113.925318,南山区
33,荔香公园,22.542587,113.936067,南山区
34,前海石公园,22.532339,113.895748,南山区
35,荷兰花卉小镇,22.549784,113.918587,南山区
36,大沙河生态长廊,22.533165,113.961547,南山区
37,侨城北,22.55044,113.995854,南山区
38,欢乐谷,22.547899,113.987186,南山区
39,世界之窗,22.540746,113.979399,南山区
40,深圳湾公园地铁站,22.528505,114.00223,福田区
41,大沙河公园,22.562929,113.968342,南山区
42,石鼓山公园,22.584067,113.956959,南山区
43,松坪山公园,22.564164,113.953899,南山区
44,深圳市水土保持科技示范园,22.599715,113.956696,南山区
45,西丽湖,22.599603,113.97218,南山区
46,深圳野生动物园,22.602101,113.977553,南山区
47,深圳人才公园,22.516327,113.952829,南山区
48,后海滨公园,22.510442,113.943675,南山区
49,科技公园,22.530165,113.95181,南山区
50,文天祥纪念公园,22.481542,113.907271,南山区
51,四海公园,22.501749,113.933514,南山区
52,宋少帝陵,22.486394,113.892963,南山区
