name,lat,lng,district
龙岗创投大厦,22.727296,114.221904,龙岗区
深圳国际文化大厦,22.545136,114.084165,福田区
中银大厦,22.553055,114.073878,福田区
新闻大厦,22.547562,114.109086,福田区
北方大厦,22.54602,114.09134,福田区
中国联通大厦,22.544308,114.061218,福田区
深圳特区报业大厦,22.54639,114.052031,福田区
国贸大厦,22.547769,114.126694,罗湖区
平安银行大厦,22.546821,114.114062,罗湖区
中兴智汇大厦,22.668629,114.226876,龙岗区
神舟电脑大厦,22.648327,114.069801,龙岗区
横岗大厦,22.652639,114.214603,龙岗区
和平大厦,22.546901,114.121339,罗湖区
华侨城大厦,22.540772,113.988927,南山区
百仕达大厦,22.573155,114.148471,罗湖区
深业大厦,22.554355,114.13689,罗湖区
深华商业大厦,22.547146,114.127674,罗湖区
南方证券大厦,22.546914,114.123559,罗湖区
振业大厦,22.550408,114.117744,罗湖区
京基100大厦,22.549316,114.113024,罗湖区
万科红立方大厦,22.604231,114.136215,龙岗区
中国经贸大厦,22.540677,114.015427,福田区
深茂大厦,22.54703,114.049601,福田区
中信大厦,22.546268,114.10636,福田区
投行大厦,22.541993,114.058389,福田区
中国港中旅大厦,22.544417,114.062355,福田区
广银大厦,22.533935,114.084151,福田区
红松大厦,22.537898,114.030201,福田区
万科富春东方大厦,22.54355,114.032251,福田区
太平金融大厦,22.547848,114.06206,福田区
深圳国际商会大厦,22.54277,114.057334,福田区
中广核大厦,22.547831,114.07382,福田区
中电信息大厦,22.547166,114.054747,福田区
彩虹大厦,22.541187,114.075044,福田区
能源大厦,22.535737,114.070445,福田区
兴业银行大厦,22.544323,114.058893,福田区
华安保险总部大厦,22.542035,114.057715,福田区
新华保险大厦,22.543565,114.05901,福田区
京地大厦,22.537863,114.074085,福田区
银都大厦,22.550264,114.12719,罗湖区
宝通大厦,22.573255,113.902364,宝安区
国信投资大厦,22.539262,113.959696,南山区
深圳北航大厦,22.532923,113.947694,南山区
创新大厦,22.555054,113.932683,南山区
中国华润大厦,22.520424,113.953125,南山区
中海油大厦,22.517959,113.945785,南山区
南山大厦,22.501643,113.926214,南山区
航天大厦,22.544311,114.057563,福田区
中国高科大厦,22.512908,113.904911,南山区
新能源大厦,22.522216,113.933555,南山区
国兴大厦,22.534695,113.926867,南山区
创维大厦,22.544891,113.957699,南山区
北科大厦,22.5316,113.946496,南山区
天虹大厦,22.512131,113.947375,南山区
康佳研发大厦,22.545159,113.96362,南山区
百度国际大厦,22.530242,113.949298,南山区
环球数码大厦,22.549258,113.943115,南山区
中科大厦,22.54397,113.958879,南山区
腾讯大厦,22.546103,113.941079,南山区
中铁南方总部大厦,22.517039,113.947664,南山区
创维半导体设计大厦,22.542655,113.960004,南山区
阿里云大厦,22.51508,113.949784,南山区
微软科通大厦,22.532277,113.946896,南山区
华润置地大厦,22.547286,113.95956,南山区
建工大厦,22.557009,114.23413,盐田区
建业大厦,22.543022,114.023061,福田区
经济发展大厦,22.786787,113.9014,光明区
坪山投资大厦,22.702038,114.353111,坪山区
