,name,lat,lng
0,鹏飞路310号,22.599179,114.529874
1,双晖现代农业,22.816467,113.952758
2,大王山广场,22.715026,113.813282
3,同乐社区浪背工业区,22.742671,114.336298
4,新羌社区,22.806162,113.949302
5,凤歧路20号,22.69138,114.116708
6,东涌旅游区,22.497243,114.588685
7,新大路,22.560552,114.508215
8,华润五丰农产品深圳有限公司,22.566243,113.911577
9,灿城农产品物流园,22.728188,114.092094
10,根玉路15号,22.729461,113.89718
11,金源路16号,22.683369,114.243216
12,深圳市光明区光明街道办事处,22.768958,113.95412
13,富临路2号,22.801376,114.341401
14,杓妈岭工业区,22.614782,114.12827
15,深坑村,22.63806,114.173079
16,龙山工业区,22.606706,114.14502
17,创业二路北巷,22.576832,113.90699
18,深圳市鼎盛肉业食品有限公司,22.709479,113.965449
