name,lat,lng,district
北京大学深圳医院,22.56236,114.055656,福田区
香港大学深圳医院,22.531953,114.002664,福田区
深圳市第二人民医院,22.563052,114.092161,福田区
深圳市中医院,22.542855,114.092006,福田区
中山大学附属第八医院,22.544356,114.086159,福田区
广州中医药大学深圳医院(福田),22.565023,114.048841,福田区
深圳市福田区第二人民医院,22.57215,114.06545,福田区
深圳景田医院,22.555173,114.048692,福田区
深圳市人民医院,22.563688,114.134149,罗湖区
深圳市康宁医院(罗湖院区),22.570543,114.137226,罗湖区
深圳市罗湖区人民医院,22.544243,114.12857,罗湖区
罗湖区中医院,22.571769,114.187206,罗湖区
深圳出入境边防检查总站医院,22.579798,114.109342,罗湖区
深圳市盐田区人民医院,22.563947,114.240054,盐田区
深圳大学总医院,22.600715,113.993909,南山区
中国医学科学院阜外医院深圳医院,22.562695,113.954329,南山区
深圳市南山区人民医院,22.536521,113.930025,南山区
南方科技大学医院,22.585436,113.956122,南山区
南方医科大学深圳医院,22.550249,113.902702,宝安区
深圳市宝安区人民医院,22.567707,113.921362,宝安区
深圳市宝安第二人民医院(集团)总医院,22.738427,113.811758,宝安区
深圳市龙岗区第三人民医院,22.654336,114.219328,龙岗区
宝安中医院(集团),22.578462,113.906594,宝安区
深圳市中西医结合医院,22.738425,113.811866,宝安区
深圳市宝安区中心医院,22.586247,113.88643,宝安区
宝安纯中医治疗医院,22.612493,113.877517,宝安区
深圳恒生医院,22.582857,113.858685,宝安区
深圳万丰医院,22.728618,113.835001,宝安区
深圳市第三人民医院,22.641587,114.135223,龙岗区
深圳市龙岗中心医院,22.741464,114.28974,龙岗区
深圳市龙岗区人民医院,22.732691,114.234344,龙岗区
深圳市龙岗区第二人民医院(龙岭院区),22.611885,114.122209,龙岗区
深圳市龙岗区第四人民医院,22.602561,114.146974,龙岗区
深圳市龙岗区第五人民医院,22.704493,114.137018,龙岗区
深圳市龙岗区第六人民医院,22.786157,114.323033,龙岗区
北京中医药大学深圳医院,22.713485,114.222276,龙岗区
深圳市龙岗区耳鼻咽喉医院,22.715313,114.251152,龙岗区
深圳龙城医院,22.70951,114.237755,龙岗区
深圳华侨医院,22.69367,114.150359,龙岗区
深圳肖传国医院,22.66245,114.077292,龙岗区
深圳市人民医院龙华分院,22.670966,114.030186,龙华区
深圳市龙华区人民医院,22.661899,114.039747,龙华区
深圳市龙华区中心医院,22.718858,114.0526,龙华区
深圳军龙医院,22.672847,114.031266,龙华区
深圳市康宁医院(坪山院区),22.668479,114.311056,坪山区
深圳市坪山区人民医院,22.693793,114.357572,坪山区
中山大学附属第七医院,22.792243,113.958511,光明区
中国科学院大学深圳医院(东院区),22.757595,113.950592,光明区
深圳市大鹏新区葵涌人民医院,22.637828,114.4287,龙岗区
深圳市大鹏新区南澳人民医院,22.540364,114.500833,龙岗区
