name,lat,lng
罗湖,22.537936,114.125317
国贸,22.546055,114.125156
老街,22.55087,114.122738
大剧院,22.547971,114.114678
科学馆,22.546109,114.102113
华强路,22.546355,114.09171
岗厦地铁站,22.540518,114.072207
会展中心,22.540331,114.067692
购物公园,22.540108,114.060562
香蜜湖,22.544666,114.045221
车公庙,22.541996,114.03365
竹子林,22.539593,114.020418
侨城东,22.538687,114.003193
华侨城,22.539709,113.991722
世界之窗,22.542891,113.980583
白石洲,22.545597,113.973369
高新园,22.546035,113.960423
深大,22.54387,113.950339
桃园,22.538089,113.931322
大新,22.538102,113.921714
鲤鱼门,22.538211,113.909832
前海湾,22.542733,113.904232
新安,22.553954,113.900891
宝安中心,22.560836,113.893654
宝体,22.566541,113.887784
坪洲,22.575276,113.877227
西乡,22.581735,113.869117
固戍,22.60669,113.853605
后瑞,22.634498,113.842017
机场东,22.652709,113.829258
赤湾,22.485483,113.904203
蛇口港,22.4826,113.918663
海上世界,22.491116,113.92165
水湾,22.494247,113.926343
东角头,22.491948,113.93766
湾厦,22.499032,113.945229
海月,22.505611,113.944315
登良,22.514872,113.944351
后海,22.523707,113.947799
科苑,22.532669,113.953068
红树湾,22.531056,113.975165
世界之窗,22.542891,113.980583
侨城北,22.55044,113.995854
深康,22.552827,114.005578
安托山,22.554985,114.012557
侨香,22.555923,114.020839
香蜜,22.558811,114.030406
香梅北,22.560118,114.039793
景田,22.559418,114.05003
莲花西,22.55248,114.056665
福田,22.545641,114.060784
市民中心,22.546784,114.067844
岗厦北,22.5468,114.075212
华强北,22.549777,114.092509
燕南,22.550472,114.098596
大剧院,22.547971,114.114678
湖贝,22.550606,114.13172
黄贝岭,22.552284,114.142497
新秀,22.553693,114.155465
莲塘口岸,22.559303,114.161879
仙湖路,22.569759,114.172875
莲塘,22.5698,114.181004
福保,22.513825,114.062486
益田,22.522049,114.057673
石厦,22.52906,114.060299
购物公园,22.540108,114.060562
福田,22.545641,114.060784
少年宫,22.55368,114.067013
莲花村,22.554522,114.074512
华新,22.554929,114.093238
通新岭,22.554809,114.102685
红岭,22.555001,114.110308
老街,22.55087,114.122738
晒布,22.555685,114.129194
翠竹,22.562698,114.136556
田贝,22.573393,114.136069
水贝,22.580283,114.131382
草埔,22.590896,114.122825
布吉,22.608013,114.128027
木棉湾,22.613348,114.136866
大芬,22.620295,114.144786
丹竹头,22.625729,114.154568
六约,22.639974,114.1873
塘坑,22.644976,114.199302
横岗,22.65441,114.215408
永湖,22.665032,114.224489
荷坳,22.67936,114.23075
大运,22.692046,114.234616
爱联,22.703997,114.240852
吉祥,22.716031,114.250865
龙城广场,22.723214,114.26094
南联,22.728121,114.272271
双龙,22.734723,114.284105
牛湖,22.73055,114.095683
观澜湖,22.727468,114.082981
松元厦,22.726785,114.071452
观澜,22.72097,114.061443
长湖,22.716443,114.051321
茜坑,22.703112,114.047637
竹村,22.692586,114.046811
清湖北,22.67801,114.04696
清湖,22.669994,114.0431
龙华,22.657782,114.02894
龙胜,22.651062,114.018852
上塘,22.643199,114.019211
红山,22.627971,114.029976
深圳北站,22.616667,114.037138
白石龙,22.607264,114.049182
民乐,22.600182,114.055133
上梅林,22.575174,114.066543
莲花北,22.566216,114.065949
少年宫,22.55368,114.067013
市民中心,22.546784,114.067844
会展中心,22.540331,114.067692
福民,22.529772,114.072814
福田口岸,22.521671,114.07583
黄贝岭,22.552284,114.142497
怡景,22.562029,114.146592
太安,22.579697,114.143568
布心,22.587239,114.144521
百鸽笼,22.601728,114.136855
