,name,lat,lng,district
0,华润万家(龙华店),22.660378,114.027651,龙华区
1,华润万家(益田店),22.529075,114.063573,福田区
2,华润万家(沙井店),22.734317,113.834571,宝安区
3,华润万家(横岗店),22.6435,114.197948,龙岗区
4,华润万家(宝安店),22.566492,113.911443,宝安区
5,华润万家(侨香店),22.557237,114.020398,福田区
6,华润万家(春风店),22.547596,114.133568,罗湖区
7,华润万家(莲塘店),22.568848,114.175758,罗湖区
8,华润万家(西丽店),22.576398,113.966218,南山区
9,华润万家(深盐店),22.560799,114.245247,盐田区
10,华润万家(世贸百货店)-停车场,22.723648,114.252744,龙岗区
11,华润万家(喜港城店)-正门,22.770588,113.850045,宝安区
12,华润万家(下水径店),22.624064,114.116915,龙岗区
13,华润万家(民乐店),22.606493,114.054188,龙华区
14,华润万家(福星店),22.54224,114.089433,福田区
15,华润万家(翠竹店),22.565818,114.135893,罗湖区
16,华润万家(龙城店),22.725171,114.260583,龙岗区
17,深圳华润万家欢乐颂店2楼曼妮芬,22.540851,113.926378,南山区
18,华润万家(宝安中心店),22.562706,113.884243,宝安区
19,华润万家(银湖店),22.576832,114.095693,罗湖区
20,来电(华润万家布吉百鸽笼店),22.599462,114.137553,龙岗区
21,华润万家(莲花北店),22.564921,114.060654,福田区
22,华润万家(天安云谷店),22.66507,114.07446,龙岗区
23,华润万家(深汕路店),22.699072,114.344637,坪山区
24,华润万家(梅林一村店),22.57075,114.04438,福田区
25,华润万家(红岭店),22.561385,114.109871,福田区
26,华润万家(宏发领域店),22.562964,113.897225,宝安区
27,华润万家(深圳龙岗天安数码店),22.727089,114.223586,龙岗区
28,华润万家(南湾店),22.613227,114.162571,龙岗区
29,华润万家(大唐时代分店),22.67071,114.048466,龙华区
30,华润万家(梅陇镇店),22.637225,114.037116,龙华区
31,华润万家(吉祥路店),22.736344,114.244121,龙岗区
32,华润万家(深南大道店),22.543355,114.032833,福田区
34,华润万家(摩尔城店),22.728642,114.27467,龙岗区
35,华润万家(四季花城3分店),22.62927,114.065534,龙岗区
36,华润万家(松坪山店),22.564373,113.962279,南山区
37,华润万家(吉莲店),22.563874,114.055272,福田区
38,华润万家(方鼎店),22.555997,113.930274,南山区
39,华润万家(新时代店),22.488211,113.919526,南山区
40,华润万家(沙园路店),22.706435,114.226397,龙岗区
41,华润万家(宏发君域店),22.783477,113.846635,宝安区
42,华润万家(龙园店),22.594521,114.117489,罗湖区
43,华润万家(李朗国际珠宝产业园店),22.648799,114.131588,龙岗区
44,华润万家(美莲店),22.560401,114.076533,福田区
45,华润万家(海源城一分店),22.688241,114.132536,龙岗区
46,华润万家(深圳黄金大厦店),22.581604,113.895458,宝安区
47,华润万家(碧华店),22.569821,114.055326,福田区
48,华润万家(南方店),22.553996,114.155853,罗湖区
50,华润万家(凤凰店),22.558536,114.141058,罗湖区
51,华润万家(赤湾六路店),22.485818,113.897739,南山区
52,华润万家(新闻路店),22.547276,114.051955,福田区
53,华润万家(桂芳园二店),22.621684,114.147855,龙岗区
54,华润万家(中海怡翠店),22.630092,114.11588,龙岗区
55,华润万家(慢城店),22.629625,114.137774,龙岗区
56,华润万家(登良路店),22.517555,113.930565,南山区
57,华润万家(东方沁园店),22.730895,114.230387,龙岗区
58,华润万家(华清园店),22.559426,114.158222,罗湖区
59,华润万家(水山缘店),22.606273,114.147458,龙岗区
60,华润万家(麓园店),22.738238,114.226041,龙岗区
