,Name,bus_arrive_in_15_min,cycling_arrive_in_15_min,walking_arrive_in_15_min,bus_arrive_area,cycling_arrive_area,walking_arrive_area,area,office_building,gov,population,bus_area_rate,cycling_area_rate,walking_area_rate,per_bus,per_cyc,per_walk,office_rate_by_area,gov_rate_by_area,pop_rate_by_area
0,沙河街道,194,52,19,18983009.213056974,19343083.225637875,12394046.311436525,21917769.208713096,28,11,165707,0.8661013368783238,0.8825297429424664,0.565479369429141,0.0011707411274116362,0.000313806900130954,0.00011466021350938705,1.277502273765571e-06,5.018758932650457e-07,0.007560395331388267
1,粤海街道,164,60,17,17391730.67859038,17763858.221698787,14310443.85759966,18179554.542086437,59,33,240224,0.9566642922040685,0.9771338555394581,0.7871724152795041,0.0006826961502597575,0.00024976688424137474,7.07672838683895e-05,3.245404053405847e-06,1.8152259959727618e-06,0.0132139651411079
2,凤凰街道,48,9,1,26134196.793613363,18664230.33695536,764694.1737289198,26134196.793613356,6,5,155086,1.0000000000000002,0.7141688908348813,0.02926028987107784,0.00030950569361515545,5.803231755284165e-05,6.448035283649072e-06,2.295842511397279e-07,1.913202092831066e-07,0.0059342171953759735
3,玉塘街道,44,7,0,25470255.309280913,10442869.53301561,0.0,25470255.309280924,1,4,213178,0.9999999999999996,0.4100025463510139,0.0,0.00020640028520766684,3.2836409010310635e-05,0.0,3.926148316368141e-08,1.5704593265472564e-07,0.008369684457867276
4,光明街道,58,9,3,25677064.432687704,16260831.902353978,3435204.355164866,34442058.43819458,3,13,111410,0.7455148036161822,0.47212137252288905,0.09973864835428622,0.0005205995871106723,8.078269455165604e-05,2.6927564850552014e-05,8.710280790514962e-08,3.7744550092231503e-07,0.00323470794290424
5,公明街道,26,11,4,27850171.630748425,18237179.383948285,6014343.286131466,27850171.63074843,13,36,201514,0.9999999999999999,0.6548318490006444,0.2159535447706625,0.00012902329366694124,5.4586778089859764e-05,1.9849737487221732e-05,4.667834788367028e-07,1.292631172163177e-06,0.0072356466118691795
6,新湖街道,23,10,5,34526030.50956578,29395194.13460455,4485150.933020451,47542333.57198469,9,1,124516,0.7262165719587429,0.6182951472101545,0.0943401511040556,0.00018471521732146872,8.03109640528125e-05,4.015548202640625e-05,1.8930496935689832e-07,2.1033885484099812e-08,0.0026190552849381724
7,马田街道,31,15,4,21328552.21293992,20839338.141528662,4175198.908255674,21328552.212939937,5,3,297801,0.9999999999999993,0.9770629498651826,0.19575632075592075,0.00010409635964956465,5.0369206282047404e-05,1.3431788341879309e-05,2.3442753873216591e-07,1.4065652323929954e-07,0.013962551092395548
8,南头街道,136,48,14,11665600.345675528,11665600.353391472,5624716.927856479,11665600.364145873,2,94,238956,0.9999999984166829,0.99999999907811,0.48216266221016796,0.0005691424362644169,0.00020087380103450008,5.858819196839585e-05,1.7144424097939988e-07,8.057879326031794e-06,0.020483815023736737
9,招商街道,94,33,11,17665842.58746711,17623438.681957673,4897569.209344097,19912936.760409094,9,42,131962,0.8871540546741625,0.8850245894918222,0.24594911681141104,0.0007123262757460481,0.000250071990421485,8.335733014049499e-05,4.519674876833739e-07,2.109181609189078e-06,0.006626948178852598
10,蛇口街道,78,20,5,5486166.774413677,5646869.287682732,4479984.573799854,5646869.345831706,4,22,151687,0.9715412980934908,0.9999999897024402,0.7933572213968082,0.0005142167753334169,0.00013185045521369663,3.296261380342416e-05,7.08357101081618e-07,3.895964055948899e-06,0.02686214089794185
11,西丽街道,171,47,6,45898487.7082667,35623780.52058138,4936373.385959736,54784843.930059776,10,14,287565,0.837795353891348,0.6502488273227524,0.09010472663318492,0.0005946481665014867,0.00016344130892146123,2.0864847947420584e-05,1.8253223487806856e-07,2.55545128829296e-07,0.0052489882122711785
12,桃源街道,221,59,12,39013302.85147695,34075774.66058934,11499941.57172188,41244754.3040717,6,9,247503,0.9458973270602206,0.82618445025445,0.27882191967831893,0.000892918469675115,0.0002383809489177909,4.848426079683883e-05,1.454730450269085e-07,2.1820956754036272e-07,0.0060008358438824886
13,坪山街道,14,1,0,9201435.295456078,11490.80144358314,0.0,9201435.295470994,1,21,126027,0.999999999998379,0.0012488053303204758,0.0,0.00011108730668824934,7.93480762058924e-06,0.0,1.0867869716936514e-07,2.282252640556668e-06,0.013696450168163581
14,石井街道,2,0,0,640450.9159354499,0.0,0.0,25838124.021008752,0,1,44920,0.02478705169983335,0.0,0.0,4.452359750667854e-05,0.0,0.0,0.0,3.8702500196489064e-08,0.0017385163088262886
15,碧岭街道,23,2,0,29529481.593426522,76457.03109163392,0.0,30074557.623557046,0,0,60139,0.9818758421336322,0.0025422495668480267,0.0,0.0003824473303513527,3.32562895957698e-05,0.0,0.0,0.0,0.0019996636609841212
16,马峦街道,16,0,0,18307863.151228376,0.0,0.0,48138334.05578592,0,5,91214,0.3803177552844268,0.0,0.0,0.0001754116692612976,0.0,0.0,0.0,1.0386732524240798e-07,0.0018948308409322003
17,龙田街道,7,0,0,18678135.89590037,0.0,0.0,18837339.482427772,0,0,112912,0.991548509985929,0.0,0.0,6.199518208870625e-05,0.0,0.0,0.0,0.0,0.005994052403489827
18,福永街道,51,14,5,39043259.39646286,25910892.67265068,3627068.3051725924,39043259.39646374,3,64,318847,0.9999999999999775,0.6636457373996164,0.09289870674836914,0.00015995132461650886,4.390820675747302e-05,1.5681502413383223e-05,7.683784720780045e-08,1.639207407099743e-06,0.008166505689555183
19,福海街道,35,13,7,34341645.90426008,31529066.745511584,8935092.49624535,36103868.79916103,2,10,403152,0.9511901922560192,0.8732877609571926,0.24748296494067087,8.681589078064849e-05,3.2245902289955154e-05,1.7363178156129697e-05,5.539572534804013e-08,2.769786267402007e-07,0.011166448732756538
20,石岩街道,127,8,2,66796125.060182236,26397919.336402874,2868223.564859893,77567377.5179127,0,28,514352,0.8611368232058245,0.3403224419996252,0.036977188821389916,0.0002469126201511805,1.5553550875664913e-05,3.888387718916228e-06,0.0,3.609764941909237e-07,0.006631035062146071
21,松岗街道,32,12,5,32642770.52432452,29764881.26112532,8000035.690215171,32642770.551939994,2,25,386440,0.9999999991540095,0.9118368556910486,0.24507832990112785,8.280716281958389e-05,3.105268605734396e-05,1.2938619190559984e-05,6.126930913592866e-08,7.658663641991082e-07,0.011838455911244135
22,西乡街道,97,19,4,60074474.96227063,39030841.529353835,6420599.659594679,61876753.07994583,16,48,855145,0.9708730980866656,0.6307836075193751,0.10376432731205455,0.00011343105555198241,2.2218454180285215e-05,4.677569301112677e-06,2.585785323823912e-07,7.757355971471737e-07,0.013820133692133746
23,燕罗街道,27,9,5,41535273.11509772,24021927.44276772,2322075.4859307613,41535273.13800628,0,7,199040,0.9999999994484553,0.5783500535304482,0.0559061084831528,0.00013565112540192927,4.5217041800643084e-05,2.5120578778135048e-05,0.0,1.6853145462030792e-07,0.004792071532518013
24,航城街道,73,9,3,51218200.87916829,20397088.372735642,1646480.855865704,51425710.86205499,1,10,301314,0.9959648592229803,0.39663211321373976,0.03201668636690791,0.00024227218117976596,2.9869173022162927e-05,9.956391007387642e-06,1.9445526045958087e-08,1.9445526045958088e-07,0.005859209235011815
25,沙井街道,29,15,4,40515572.496930145,38114040.66963517,3186710.6564819417,41710500.79924376,0,15,548251,0.9713518591381841,0.9137756665421337,0.07640068077388605,5.2895480354800994e-05,2.7359731218000514e-05,7.2959283248001375e-06,0.0,3.5962167110378977e-07,0.013144196053621588
26,新安街道,113,37,12,28281384.87233203,27994004.70481353,13847869.530516386,28281384.886180323,14,165,585317,0.9999999995103389,0.9898385392892404,0.4896460900428938,0.00019305777894713464,6.321360903578744e-05,2.0501711038633766e-05,4.950252633081307e-07,5.834226317560111e-06,0.020696193003123222
27,新桥街道,35,17,4,32282247.907784194,28085948.651172258,7251491.539913046,32282247.907784168,4,16,364696,1.0000000000000009,0.8700121729874931,0.22462783758514243,9.597034242218176e-05,4.6614166319345426e-05,1.096803913396363e-05,1.2390710868171874e-07,4.95628434726875e-07,0.011297106726947023
28,沙头角街道,84,6,1,2419616.714750275,2050713.1844827952,121139.07995469146,5394278.026644522,0,0,46753,0.4485524666690906,0.3801645325571824,0.022456958902810815,0.0017966761491241205,0.00012833401065172288,2.1389001775287147e-05,0.0,0.0,0.00866714688584237
29,梅沙街道,14,0,0,12814660.119977973,0.0,0.0,20015593.720426675,0,8,18117,0.6402338246354454,0.0,0.0,0.0007727548711155269,0.0,0.0,0.0,3.996883685661393e-07,0.0009051442716640932
30,园岭街道,182,75,21,3538955.0661403234,3538955.06613963,3496721.0798243857,3538955.066140059,0,28,99858,1.0000000000000748,0.9999999999998788,0.988065972716139,0.0018225880750665946,0.0007510665144505197,0.00021029862404614553,0.0,7.911939958745964e-06,0.02821680358573052
31,沙头街道,201,69,19,14412580.183859091,14360625.91714673,7856794.267782144,15039934.29886488,17,110,265155,0.9582874431138214,0.9548330219920295,0.5223955179362137,0.0007580471799513493,0.00026022515132658255,7.165620108992853e-05,1.1303240866739061e-06,7.313861737301745e-06,0.017630063717765855
32,南园街道,173,84,17,2477747.2733245385,2236724.8872834616,1931699.48616,2487922.9721924416,2,37,121231,0.995909962252997,0.8990330135954266,0.776430583965275,0.001427027740429428,0.0006928920820582195,0.00014022815946416344,8.038834089133928e-07,1.4871843064897767e-05,0.04872779477298976
33,福保街道,194,33,5,4110625.5540766506,4124957.824278736,1033189.406746721,4355680.5295295175,3,10,123498,0.9437389923821303,0.9470294702087109,0.2372050474643791,0.001570875641710797,0.0002672108050332799,4.048648561110301e-05,6.887557477325012e-07,2.295852492441671e-06,0.02835331911115615
34,莲花街道,214,78,31,9129065.696226805,9129065.696226805,8690236.802326934,9129065.696226804,25,111,183357,1.0000000000000002,1.0000000000000002,0.9519305799189018,0.0011671220624246688,0.00042539963022955216,0.000169069083809181,2.7385058703578964e-06,1.2158966064389061e-05,0.020084968834848515
35,福田街道,203,91,33,9683512.423112782,9651929.78413343,9235662.588302825,11024137.780894922,30,82,283052,0.878391817625368,0.8755269551202853,0.837767340345513,0.0007171827084775942,0.00032149569690374916,0.0001165863516244365,2.7213012569555027e-06,7.438223435678375e-06,0.025675658779458967
36,梅林街道,242,82,15,21630606.44742733,19989835.548164982,7397857.635181266,21630606.44765145,6,21,205165,0.9999999999896387,0.9241458669474977,0.34200879448687355,0.0011795384202958595,0.00039967830770355566,7.311188555552848e-05,2.773847332723051e-07,9.708465664530678e-07,0.00948493980030208
37,华富街道,200,94,26,6716610.813557203,6716610.813557203,5963942.4010187825,6716610.813557204,13,22,59995,0.9999999999999999,0.9999999999999999,0.8879392548665778,0.0033336111342611883,0.0015667972331027586,0.0004333694474539545,1.9354999658101422e-06,3.275461480601779e-06,0.008932332342213807
38,香蜜湖街道,210,61,16,11252982.728811791,11252982.728756849,9902770.69509633,11252982.732714612,18,40,156220,0.9999999996531745,0.9999999996482921,0.8800129645900058,0.0013442580975547304,0.00039047497119446933,0.00010241966457559851,1.5995759015670126e-06,3.554613114593361e-06,0.013882541519044372
39,华强北街道,178,91,22,2870573.6846745326,2870573.694104277,2853233.7019611006,2870573.710798634,17,45,55694,0.9999999908993448,0.9999999941843134,0.9939593925868186,0.0031960354795848747,0.001633928250799009,0.00039501562107228786,5.922161112271302e-06,1.5676308826600506e-05,0.019401696528637526
40,南湖街道,150,60,15,3092543.5668003955,3092382.1254615774,2456926.845401526,3092543.5687407698,7,45,96278,0.9999999993725637,0.999947795956434,0.7944679810612802,0.0015579883254741478,0.0006231953301896591,0.00015579883254741479,2.2635089350900493e-06,1.455112886843603e-05,0.031132301893228537
41,东湖街道,161,57,10,26231895.075241577,17983681.126398854,2995411.440611753,34352741.484329626,1,6,98031,0.7636041242067256,0.5235006101216785,0.08719570291000334,0.0016423376278932175,0.0005814487254031888,0.00010200854831634891,2.91097582548444e-08,1.746585495290664e-07,0.0028536587114806515
42,莲塘街道,117,27,3,8505124.532732083,10329807.902884569,2732368.9687697957,13329434.638632601,0,12,128188,0.6380709132315142,0.7749621932910615,0.20498761146632513,0.0009127219396511374,0.00021062813991949323,2.340312665772147e-05,0.0,9.002632388638967e-07,0.009616912005290433
43,清水河街道,209,92,15,15841542.750012113,14464671.029330373,5004194.49033158,15841542.750012115,0,13,117884,0.9999999999999999,0.9130847454437044,0.3158906029103607,0.0017729293203488175,0.0007804282175698144,0.00012724373112551321,0.0,8.206271450417958e-07,0.007441446951239004
44,桂园街道,166,70,22,2882578.332513141,2882578.3325132714,2596389.9588257675,2882578.332513369,7,23,99831,0.9999999999999208,0.999999999999966,0.9007179196278531,0.001662810149152067,0.0007011850026544861,0.00022037242940569564,2.42838153643394e-06,7.978967905425802e-06,0.03463253673767667
45,黄贝街道,161,54,19,8832940.266597709,8816084.48332333,6748407.121464931,8836815.073764494,16,77,182772,0.9995615154176657,0.9976540653767091,0.7636696100499138,0.0008808789092421158,0.00029545006893834944,0.00010395465388571554,1.8106070871056467e-06,8.713546606695925e-06,0.02068301740777958
46,东门街道,153,63,20,2448601.490925972,2448601.490925972,2448387.503509374,2448601.490925972,12,30,87129,1.0,1.0,0.9999126083123812,0.0017560169403987192,0.0007230657989877079,0.00022954469809133583,4.9007566337232106e-06,1.2251891584308026e-05,0.0355831687283058
47,翠竹街道,157,58,11,3980560.6779523846,3980560.6779523846,3295969.959807428,3980560.677952383,0,12,134365,1.0000000000000004,1.0000000000000004,0.8280165098507903,0.0011684590481152086,0.0004316600305138987,8.186655751125665e-05,0.0,3.0146506914128613e-06,0.03375529501264076
48,笋岗街道,172,72,21,4098961.5508989384,4098961.5508989384,3600247.0276915636,4098961.5508989394,5,27,92054,0.9999999999999998,0.9999999999999998,0.8783314951812604,0.0018684685076150954,0.0007821496078388772,0.00022812696895300585,1.2198211517508514e-06,6.587034219454597e-06,0.022457883260654572
49,东晓街道,164,61,7,4224561.140879429,4224561.140879429,2405986.7458684505,4224561.140879428,0,13,107269,1.0000000000000002,1.0000000000000002,0.5695234760805463,0.0015288666809609487,0.000568663826454987,6.525650467516245e-05,0.0,3.0772427162206456e-06,0.02539174991740557
50,民治街道,219,44,13,34466066.45643442,30137142.417234667,12344907.117469437,34466066.45643438,14,33,616878,1.0000000000000013,0.8744004035194578,0.3581756895024149,0.0003550134710591073,7.132690742740056e-05,2.1073859012641072e-05,4.061966287245517e-07,9.57463481993586e-07,0.017898125995310286
51,观澜街道,92,30,10,40453666.16640085,33294947.505140252,4973645.479829062,41130462.3685147,2,8,218899,0.9835451350862533,0.8094960666094403,0.12092364620817826,0.0004202851543405863,0.0001370495068501912,4.568316895006373e-05,4.862576019886897e-08,1.9450304079547587e-07,0.005322065140886109
52,龙华街道,177,52,12,20833838.62716979,20833838.62716979,10025826.901572172,20833838.627169773,31,28,611913,1.0000000000000009,1.0000000000000009,0.4812280195209593,0.0002892568061145947,8.49794006664346e-05,1.961063092302337e-05,1.487963910768338e-06,1.343967403274628e-06,0.02937111162999955
53,大浪街道,134,20,5,34229849.343544595,29428891.750951614,4316499.797264841,44210192.10493766,8,18,468510,0.7742524452799562,0.6656585359570247,0.09763585254321365,0.0002860131053766195,4.268852319054022e-05,1.0672130797635056e-05,1.809537488778863e-07,4.0714593497524415e-07,0.010597330110847313
54,观湖街道,155,48,25,29259453.83763792,28866792.24677839,16704753.075449005,29259453.837637927,6,13,278651,0.9999999999999998,0.9865800095573064,0.5709181438636708,0.0005562513681989298,0.00017225848821644278,8.971796261273062e-05,2.0506192744725448e-07,4.443008428023847e-07,0.009523451857517485
55,福城街道,111,38,7,35060561.45872908,19307537.98129693,833005.0585720872,36833111.061253615,3,14,334021,0.9518761909745616,0.524189714770181,0.02261565842719059,0.000332314435319935,0.00011376530218159936,2.095676619134725e-05,8.144845530454888e-08,3.8009279142122813e-07,0.009068498163093575
56,平湖街道,152,47,8,48478469.15620817,46045106.039431795,8129359.883201982,48478470.38615925,2,32,400171,0.9999999746289215,0.9498052573164069,0.167690106937098,0.00037983761941769894,0.00011744979021468322,1.9991453653563102e-05,4.125542708069861e-08,6.600868332911778e-07,0.008254612755155122
57,布吉街道,188,49,9,13130885.40187781,13130885.40187781,6512407.244168904,13130885.40187781,1,21,450197,1.0,1.0,0.49596101442158524,0.0004175949639824344,0.000108841240612443,1.9991248275754836e-05,7.615632681227977e-08,1.599282863057875e-06,0.03428534986190791
58,龙城街道,45,11,5,41703506.23922444,37213406.65515568,3552341.0128375157,41703506.446533576,3,106,500765,0.999999995028976,0.8923327994701243,0.08518087123901277,8.98625103591505e-05,2.1966391421125678e-05,9.984723373238945e-06,7.193639709519826e-08,2.541752697363672e-06,0.012007743297125653
59,坂田街道,211,59,19,33256006.091556016,32639849.15525635,14323347.116151964,33256006.091556016,17,23,541615,1.0,0.9814723110585395,0.4306995577496236,0.0003895756210592395,0.00010893346749997692,3.508026919490782e-05,5.111858577725137e-07,6.916043958098713e-07,0.016286231079850586
60,葵涌街道,5,0,0,5197424.233123344,0.0,0.0,115656900.36677523,1,25,81656,0.044938297815703944,0.0,0.0,6.123248750857255e-05,0.0,0.0,8.646263187313206e-09,2.1615657968283016e-07,0.0007060192668232472
61,横岗街道,110,12,3,26961025.079147346,23325329.51973631,5486731.459181771,26961025.148013454,1,16,287747,0.9999999974457163,0.8651499485528639,0.20350603988758362,0.0003822802670401429,4.170330185892468e-05,1.042582546473117e-05,3.709057776958018e-08,5.934492443132829e-07,0.010672702481463387
62,龙岗街道,21,7,5,40982995.18382329,28650275.88721802,6771815.918387191,68902837.05366305,4,41,354983,0.59479401627403,0.41580691176626816,0.09828065443971708,5.915776248440066e-05,1.9719254161466886e-05,1.4085181543904919e-05,5.805276199127638e-08,5.95040810410583e-07,0.005151935902487316
63,南湾街道,187,31,10,29289200.882000647,29289200.882000647,7889403.711504963,29289200.882000625,7,15,419515,1.0000000000000007,1.0000000000000007,0.26936220429125174,0.00044575283362931006,7.389485477277332e-05,2.383704992670107e-05,2.389959367004027e-07,5.121341500722914e-07,0.01432319719783849
64,宝龙街道,16,8,3,53003869.45160288,34868252.836963296,2581618.126894295,53003869.45160291,5,9,331169,0.9999999999999994,0.6578435347781733,0.04870622001006048,4.831370085968191e-05,2.4156850429840956e-05,9.05881891119036e-06,9.433273554802314e-08,1.6979892398644166e-07,0.006248015539740655
65,坪地街道,11,3,0,47872950.12213656,8269464.89340609,0.0,63142576.14588813,0,27,221414,0.7581722673387324,0.13096495895732632,0.0,4.9680688664673416e-05,1.3549278726729114e-05,0.0,0.0,4.276037128674905e-07,0.0035065721659571308
66,南澳街道,0,0,0,0.0,0.0,0.0,136009768.31356335,0,22,17178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6175308783175163e-07,0.00012629975194426496
67,园山街道,70,11,4,44527438.80961593,31542520.134234164,2341817.5328260236,55697578.07056758,3,6,250281,0.7994501799198642,0.5663176250549081,0.042045230940903636,0.00027968563334811674,4.395059952613263e-05,1.5982036191320954e-05,5.386230611677706e-08,1.0772461223355412e-07,0.0044935706124043595
68,吉华街道,202,53,7,23492336.410909213,21868008.279042564,3819860.274084134,23492336.410909228,1,5,241137,0.9999999999999993,0.9308571057618447,0.16260027130848895,0.0008376980720503283,0.00021979206840924454,2.902914111065494e-05,4.2567073044962276e-08,2.1283536522481137e-07,0.010264496292843069
69,大鹏街道,0,0,0,0.0,0.0,0.0,89308171.3292618,0,28,57402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135211435107037e-07,0.0006427407385643361
