name,lat,lng,district
深圳湾创业投资大厦,22.528054,113.944405,南山区
蛇口网谷万海大厦-C座,22.498754,113.923198,南山区
锦胜财富大厦,22.717665,113.824388,宝安区
森海诺科创大厦,22.70015,113.977473,宝安区
龙岗创投大厦,22.727296,114.221904,龙岗区
绿创云谷大厦,22.560289,113.946205,南山区
深圳国际文化大厦,22.545136,114.084165,福田区
安徽大厦创展中心,22.542453,114.037987,福田区
中国凤凰大厦-1栋,22.547045,114.070938,福田区
金中环国际商务大厦,22.539815,114.068702,福田区
航都大厦,22.548327,114.088685,福田区
雷圳大厦,22.544864,114.088004,福田区
星河世纪大厦,22.543769,114.073939,福田区
中银大厦,22.553055,114.073878,福田区
新闻大厦,22.547562,114.109086,福田区
北方大厦,22.54602,114.09134,福田区
深勘大厦,22.554039,114.102031,福田区
银座国际阳光高尔夫大厦,22.543307,114.03176,福田区
NEO企业大厦,22.541654,114.036137,福田区
深业中心大厦,22.547047,114.115013,罗湖区
天地源·盛唐大厦,22.535896,114.030861,福田区
世纪豪庭大厦,22.540738,114.027845,福田区
中央西谷大厦,22.532691,114.046887,福田区
深圳国际商会大厦-A座,22.5428,114.057791,福田区
深圳国际商会大厦-B座,22.542633,114.056852,福田区
金民大厦,22.541937,114.018423,福田区
中国联通大厦,22.544308,114.061218,福田区
深圳特区报业大厦,22.54639,114.052031,福田区
华凯大厦,22.56149,114.117198,罗湖区
外贸集团大厦,22.554985,114.129977,罗湖区
西湖大厦,22.561189,114.115869,罗湖区
金丰城大厦,22.547436,114.116416,罗湖区
国贸大厦,22.547769,114.126694,罗湖区
国贸商业大厦-正门,22.548362,114.126759,罗湖区
百货广场大厦-西座,22.549972,114.124653,罗湖区
深圳发展中心大厦,22.544953,114.125799,罗湖区
国际商业大厦,22.545395,114.124532,罗湖区
维用科技(高新中四道店),22.548934,113.951222,南山区
阳光华艺大厦,22.53121,113.935085,南山区
研祥科技大厦,22.547625,113.939374,南山区
南景苑大厦,22.537631,113.927135,南山区
平安银行大厦,22.546821,114.114062,罗湖区
花园城数码大厦,22.504766,113.927035,南山区
科技工业大厦,22.549596,113.9529,南山区
恒安兴大厦,22.655906,114.133262,龙岗区
瑞合丰收大厦,22.731078,114.275452,龙岗区
山厦大厦,22.710381,114.129022,龙岗区
中肯大厦,22.715288,114.276707,龙岗区
湖广通创业大厦,22.716557,114.252481,龙岗区
旭源大厦,22.7285,114.27102,龙岗区
左创智慧创新大厦,22.644808,114.198759,龙岗区
中兴智汇大厦,22.668629,114.226876,龙岗区
坂田中心大厦,22.633824,114.077588,龙岗区
神舟电脑大厦,22.648327,114.069801,龙岗区
坂田大厦,22.64168,114.075025,龙岗区
儒骏大厦,22.630584,114.076077,龙岗区
中宝通智能大厦,22.619102,114.230695,龙岗区
百瑞达大厦2期,22.649518,114.071181,龙岗区
金裕城大厦,22.633112,114.069448,龙岗区
三鼎电商大厦,22.632566,114.093091,龙岗区
有所为大厦,22.657238,114.07125,龙岗区
恒特美大厦,22.659281,114.120298,龙岗区
宝泰大厦,22.656952,114.12743,龙岗区
永昌大厦,22.626692,114.156787,龙岗区
宝岭大厦,22.625279,114.153546,龙岗区
维百盛大厦,22.732708,114.259464,龙岗区
东海王大厦,22.632226,114.084906,龙岗区
江南时代大厦,22.661863,114.076248,龙岗区
联亨商务大厦,22.703784,114.252795,龙岗区
世宏大厦,22.727032,114.273201,龙岗区
东森商业大厦,22.728696,114.275967,龙岗区
荣超英隆大厦,22.731016,114.256726,龙岗区
中安大厦,22.61388,114.134386,龙岗区
荣群商务大厦,22.672882,114.032637,龙华区
万汇大厦,22.72402,114.260671,龙岗区
横岗大厦,22.652639,114.214603,龙岗区
荣超金融大厦,22.711484,114.221476,龙岗区
星越大厦,22.668685,114.001079,龙华区
澳华商务大厦,22.671672,114.010807,龙华区
亿康商业大厦,22.667054,114.036805,龙华区
万隆大厦,22.656754,114.010689,龙华区
雍景轩商业大厦,22.685987,114.00973,龙华区
凯豪达商业大厦,22.683947,114.015581,龙华区
可图佳大厦,22.692741,114.046511,龙华区
君澜大厦,22.735733,114.055045,龙华区
银星科技大厦,22.735037,114.054194,龙华区
德盛昌大厦,22.696581,114.082089,龙华区
富本大厦,22.702589,114.048331,龙华区
富康科技大厦,22.653117,114.051976,龙华区
八零创业大厦,22.647485,114.023311,龙华区
汇聚大厦,22.676636,114.016102,龙华区
和平大厦,22.546901,114.121339,罗湖区
宝湖大厦,22.679351,114.043004,龙华区
柏龙大厦,22.673062,114.033358,龙华区
展润国际大厦,22.669298,114.025504,龙华区
东华大厦,22.536128,114.077065,福田区
恒和国际大厦,22.659073,114.036615,龙华区
宝观城锦鲤大厦,22.708129,114.055313,龙华区
向南商业大厦,22.622121,114.046158,龙华区
新龙大厦,22.609153,114.043158,龙华区
东美大厦,22.623381,114.045738,龙华区
蓝坤大厦,22.619055,114.047005,龙华区
淘景商务大厦,22.623198,114.029755,龙华区
龙胜时代大厦,22.660257,114.022098,龙华区
金銮时代大厦,22.66271,114.037047,龙华区
泽华大厦,22.651165,114.043692,龙华区
融创智汇大厦,22.649318,114.025735,龙华区
新澜大厦,22.638014,114.04329,龙华区
天辅星大厦,22.621761,114.040244,龙华区
锦绣鸿都大厦,22.640495,114.035496,龙华区
向荣商务大厦,22.622251,114.030311,龙华区
深圳通大厦,22.615081,114.032576,龙华区
华侨城大厦,22.540772,113.988927,南山区
汇德大厦,22.618877,114.037473,龙华区
中汇财富大厦,22.65301,114.042309,龙华区
永顺通商业大厦,22.642512,114.054908,龙华区
油松科技大厦,22.651446,114.046687,龙华区
华联大厦,22.547185,114.10046,福田区
富驰大厦,22.65374,114.05295,龙华区
华盛大厦,22.682552,114.012549,龙华区
东明大厦,22.620076,114.047221,龙华区
彩悦大厦,22.621187,114.039907,龙华区
鸿宇大厦,22.672166,114.031122,龙华区
港深联汇大厦,22.66713,114.042042,龙华区
国鸿大厦,22.674015,114.04939,龙华区
海韵大厦-地下停车场,22.634152,114.044212,龙华区
龙胜商业大厦,22.653729,114.022347,龙华区
颐丰华大厦,22.694266,113.993328,龙华区
客盛智创大厦,22.678094,114.051565,龙华区
上塘商业大厦,22.650618,114.028032,龙华区
时代大厦-西南门,22.681972,114.043837,龙华区
锦华大厦,22.654256,114.012095,龙华区
旭日大厦,22.64802,114.05455,龙华区
望成大厦,22.683064,114.044907,龙华区
淘金地大厦,22.64616,114.017952,龙华区
太阳能硅谷大厦,22.665126,114.007947,龙华区
牛栏前大厦,22.640558,114.044303,龙华区
油松商务大厦,22.650674,114.048035,龙华区
卫东龙商务大厦,22.667654,114.04855,龙华区
祥昭大厦,22.641696,114.010366,龙华区
尚美创客大厦,22.709615,114.100852,龙华区
良基大厦,22.649555,114.050991,龙华区
金銮国际商务大厦2期,22.670929,114.041457,龙华区
天汇大厦,22.649097,114.052507,龙华区
宏业创客大厦,22.662429,114.029625,龙华区
优城商务大厦,22.634599,114.043207,龙华区
嘉安达大厦,22.688136,113.997469,龙华区
尚美中心大厦-西南门,22.675291,114.045867,龙华区
展滔科技大厦,22.645747,114.044041,龙华区
天安数码时代大厦,22.541205,114.038508,福田区
桂都大厦,22.544157,114.131429,罗湖区
海燕大厦,22.54622,114.123935,罗湖区
百仕达大厦,22.573155,114.148471,罗湖区
潮汕大厦,22.544886,114.133768,罗湖区
华通大厦,22.65402,114.119362,龙岗区
电影大厦,22.551218,114.119635,罗湖区
亚洲商业大厦-地上停车场,22.550281,114.126644,罗湖区
锦湖大厦,22.646025,114.0443,龙华区
华乐大厦,22.550486,114.134518,罗湖区
文华大厦,22.551636,114.141982,罗湖区
深业大厦,22.554355,114.13689,罗湖区
天俊大厦,22.547953,114.128639,罗湖区
寸金大厦,22.548344,114.128559,罗湖区
太阳岛大厦,22.546921,114.130431,罗湖区
合作金融大厦,22.549579,114.12385,罗湖区
海外联谊大厦,22.548132,114.123471,罗湖区
中建大厦,22.549794,114.12927,罗湖区
深华商业大厦,22.547146,114.127674,罗湖区
龙园创展大厦,22.549686,114.118204,罗湖区
南方证券大厦,22.546914,114.123559,罗湖区
振业大厦,22.550408,114.117744,罗湖区
金龙大厦,22.548621,114.128496,罗湖区
太平洋商贸大厦,22.545845,114.120174,罗湖区
地王大厦-写字楼,22.549014,114.117114,罗湖区
京基100大厦,22.549316,114.113024,罗湖区
爵士大厦,22.545931,114.121247,罗湖区
万科红立方大厦,22.604231,114.136215,龙岗区
湖北大厦,22.533457,114.053947,福田区
中国经贸大厦,22.540677,114.015427,福田区
时代科技大厦,22.543137,114.030259,福田区
求是大厦,22.541002,114.017104,福田区
联泰大厦,22.541192,114.018404,福田区
岭南大厦,22.547518,114.005284,福田区
京基·滨河时代大厦A座,22.534727,114.033769,福田区
理想时代大厦,22.576566,114.067876,福田区
上步大厦,22.545316,114.102273,福田区
橄榄大厦,22.549217,114.074765,福田区
