,OBJECTID,Name,Layer,gml_id,code,grade,Shape_Leng,Shape_Area,geometry
0,1,沙河街道,乡镇,,,0,20040.9788532,21792472.5448,POINT (113.9717641239288 22.53587233948723)
1,2,粤海街道,乡镇,,,0,19159.5897355,18075619.7308,POINT (113.9392492352695 22.5302223288828)
2,13,凤凰街道,乡镇,layer_township_pg.15697,440311004000,4,29736.850664,25985230.2013,POINT (113.9302728066271 22.73682204640801)
3,14,玉塘街道,乡镇,layer_township_pg.15698,440311005000,4,29501.1829686,25325032.6999,POINT (113.8961826861495 22.71762848830217)
4,15,光明街道,乡镇,layer_township_pg.15699,440311001000,4,30030.5137054,34245779.8292,POINT (113.9618129279743 22.75200408670002)
5,16,公明街道,乡镇,layer_township_pg.15700,440311002000,4,26291.4036774,27691582.5628,POINT (113.8996789783183 22.80546236477502)
6,17,新湖街道,乡镇,layer_township_pg.15701,440311003000,4,39636.9985887,47271564.13369999,POINT (113.9489957634047 22.79383178201872)
7,18,马田街道,乡镇,layer_township_pg.15702,440311006000,4,26216.9330303,21207036.2076,POINT (113.8809435701941 22.76967866789035)
8,21,南头街道,乡镇,layer_township_pg.15705,440305001000,4,14677.2279225,11598925.3544,POINT (113.9164209482703 22.54973860701428)
9,22,招商街道,乡镇,layer_township_pg.15706,440305006000,4,39253.5145948,19799017.4815,POINT (113.9041807228249 22.48483408897277)
10,23,蛇口街道,乡镇,layer_township_pg.15707,440305005000,4,13803.8246451,5614567.26811,POINT (113.931752619553 22.49109635738956)
11,24,西丽街道,乡镇,layer_township_pg.15709,440305009000,4,38375.05487990001,54471990.29209999,POINT (113.9475718132586 22.60960768892983)
12,25,桃源街道,乡镇,layer_township_pg.15710,440305008000,4,30395.8920247,41009149.2955,POINT (113.9845402060061 22.58808999398767)
13,26,坪山街道,乡镇,layer_township_pg.15711,440310001000,4,17753.3705596,9148955.4804,POINT (114.3326622470675 22.69610507408072)
14,27,石井街道,乡镇,layer_township_pg.15712,440310004000,4,29727.3409934,25690703.2645,POINT (114.4029610822807 22.67054879567361)
15,29,碧岭街道,乡镇,layer_township_pg.15714,440310003000,4,35222.823354,29902944.2503,POINT (114.2953112579217 22.6619406477764)
16,31,马峦街道,乡镇,layer_township_pg.15716,440310002000,4,37990.22712000001,47863616.4709,POINT (114.3431091005118 22.65502595619238)
17,32,龙田街道,乡镇,layer_township_pg.15717,440310006000,4,23436.7658612,18729976.5065,POINT (114.3505394435161 22.74391131406221)
18,33,福永街道,乡镇,layer_township_pg.15718,440306020000,4,36692.59417370001,38820476.1069,POINT (113.8220797979695 22.66451185511144)
19,34,福海街道,乡镇,layer_township_pg.15719,440306021000,4,38067.4991504,35897929.742,POINT (113.7893606801003 22.68846260884071)
