,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,华强创意产业园,52.25392156862746,22.733333333333334,33.4656862745098,108.45294117647056,18.970588235294116,127.42352941176469,1.3235294117647058,30.15,97.68333333333334,1,71.03333333333333,41.15,1,48.13333333333333,102.31666666666666,1.0,16,0,0
1,深圳市生物医药创新产业园,43.12380952380953,21.818253968253963,83.58809523809524,148.53015873015872,26.428571428571427,174.95873015873016,0.6190476190476191,7.0,119.81666666666666,0,77.94999999999999,9.0,0,42.0,157.41666666666669,1.0,29,0,0
2,福田国际电子商务产业园,33.975,19.6275641025641,8.262820512820513,61.865384615384606,8.942307692307693,70.80769230769229,0.6538461538461539,7.0,25.799999999999997,0,25.799999999999997,7.0,0,28.891666666666666,58.108333333333334,1.0,24,0,0
3,中国(深圳)新媒体广告产业园,39.878787878787875,12.703535353535354,10.93737373737374,63.51969696969699,8.636363636363637,72.1560606060606,0.7575757575757576,6.15,20.4,1,20.4,6.15,1,39.5,54.900000000000006,1.0,17,0,0
4,湾区人工智能产业园,48.65444444444445,22.39555555555556,28.76,99.81,16.33333333333333,116.14333333333335,0.6,8.0,39.78333333333333,0,39.78333333333333,8.0,0,51.0,96.9,1.0,35,0,0
5,深圳市互联网产业园,47.122222222222234,13.333333333333327,4.740598290598291,65.19615384615385,9.615384615384617,74.81153846153845,1.205128205128205,10.0,22.016666666666666,0,22.016666666666666,10.0,0,48.11666666666667,67.6,1.0,11,0,0
6,大百汇生命健康产业园,63.14102564102565,18.585897435897436,5.066025641025642,86.79294871794872,11.73076923076923,98.52371794871793,1.0,12.0,36.68333333333334,0,36.68333333333334,12.0,0,66.71666666666667,87.68333333333334,1.0,24,0,0
7,高新奇战略新兴产业园,43.455813953488374,17.374418604651165,12.018217054263568,72.8484496124031,18.13953488372093,90.98798449612404,0.9534883720930233,5.0,40.31666666666666,0,21.833333333333336,5.0,0,44.88333333333333,70.46666666666667,1.0,7,0,0
8,长丰工业园,43.19425287356323,15.28735632183908,7.4178160919540215,65.89942528735632,11.896551724137932,77.79597701149427,1.0,11.1,34.45,1,34.45,11.1,1,44.06666666666666,69.01666666666667,1.0,21,0,0
9,庭威工业园,41.336434108527136,18.952325581395353,7.699612403100776,67.98837209302326,9.186046511627907,77.17441860465118,0.9069767441860465,4.0,29.766666666666666,0,22.05,5.0,0,43.4,64.38333333333333,1.0,7,0,0
10,立新湖福宁高新产业园,61.769999999999996,22.954999999999995,29.67666666666667,114.40166666666667,16.5,130.90166666666664,0.9,11.0,68.58333333333334,0,40.96666666666667,15.0,0,65.6,108.39166666666667,1.0,30,0,0
11,泰熙产业园,41.852,20.421333333333333,30.358000000000008,92.63133333333333,16.799999999999997,109.43133333333333,0.92,19.233333333333334,85.94999999999999,1,70.64999999999999,22.15,1,36.86666666666667,86.51666666666667,1.0,25,0,0
12,阿凡达·新桥创新产业园,62.77948717948718,25.22371794871795,19.524358974358975,107.52756410256409,16.53846153846154,124.06602564102562,0.8846153846153846,15.0,62.733333333333334,0,47.866666666666674,20.0,0,65.65,107.54166666666666,1.0,24,0,0
13,富比伦鼎丰高新产业园,61.07741935483872,20.91021505376344,24.411290322580648,106.3989247311828,17.338709677419356,123.73763440860213,0.7741935483870968,26.0,57.416666666666664,0,57.416666666666664,26.0,0,63.15,101.78333333333335,1.0,19,0,0
14,碧桂园(深圳)机器人产业园,61.0139534883721,33.66976744186046,15.120542635658916,109.80426356589145,14.767441860465116,124.57170542635654,0.7441860465116279,7.0,52.85,0,52.85,7.0,0,66.0,105.41666666666667,1.0,7,0,0
15,中泰信息技术产业园,38.28666666666667,16.442777777777778,26.467222222222215,81.19666666666666,16.666666666666668,97.86333333333333,0.8666666666666667,13.0,56.483333333333334,0,40.333333333333336,15.0,0,37.31666666666666,74.94999999999999,1.0,20,0,0
16,惠科平板显示产业园,37.66238095238096,15.896666666666667,28.055238095238096,81.61428571428571,17.214285714285715,98.82857142857142,0.9714285714285714,5.0,35.016666666666666,0,35.016666666666666,5.0,0,38.15,75.01666666666667,1.0,15,0,0
17,华丰宝联低碳产业创新园,38.928260869565214,15.56159420289855,26.914492753623183,81.40434782608695,13.369565217391305,94.77391304347825,0.8260869565217391,11.1,42.06666666666666,1,42.06666666666666,11.1,1,34.88333333333333,75.4,1.0,27,0,0
