,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,华强创意产业园,49.60407407407408,23.854814814814816,38.31888888888888,111.77777777777781,18.72222222222222,130.50000000000003,0.9777777777777777,5.0,43.483333333333334,0,43.08333333333333,8.0,0,49.06666666666667,112.76666666666667,1.0,24,0,0
1,深圳市生物医药创新产业园,49.74952380952381,20.519047619047615,85.64238095238098,155.9109523809524,27.071428571428573,182.98238095238096,0.45714285714285713,5.0,106.06666666666666,0,91.38333333333334,11.0,0,41.18333333333334,163.86666666666667,0.0,34,0,0
2,福田国际电子商务产业园,39.09222222222222,23.07055555555556,8.360555555555557,70.52333333333333,9.0,79.52333333333331,0.7333333333333333,11.5,30.21666666666667,1,30.21666666666667,11.5,1,39.858333333333334,67.3,1.0,39,0,0
3,中国(深圳)新媒体广告产业园,41.69659090909093,15.010606060606058,12.543181818181818,69.25037878787877,9.375,78.62537878787879,1.0227272727272727,6.0,17.733333333333334,0,17.733333333333334,6.0,0,41.9,69.18333333333334,1.0,25,0,0
4,湾区人工智能产业园,46.32745098039215,24.182352941176475,29.712745098039218,100.22254901960785,15.735294117647058,115.95784313725491,0.5294117647058824,8.0,37.86666666666667,0,37.86666666666667,8.0,0,46.0,92.98333333333333,1.0,52,0,0
5,深圳市互联网产业园,51.77971014492753,15.701811594202896,6.853260869565218,74.33478260869566,9.293478260869565,83.62826086956522,1.1521739130434783,10.0,21.85,0,21.85,10.0,0,54.75,75.75,1.0,23,0,0
6,大百汇生命健康产业园,68.74824561403508,19.457017543859642,8.577631578947368,96.78289473684214,12.302631578947368,109.0855263157895,1.1842105263157894,31.0,56.5,0,54.56666666666667,40.71666666666667,1,70.90833333333333,100.30000000000001,1.0,31,0,0
7,高新奇战略新兴产业园,43.34673913043478,16.708695652173915,15.369565217391305,75.425,17.880434782608695,93.30543478260869,0.8478260869565217,5.0,37.91666666666667,0,20.816666666666666,5.0,0,45.84166666666667,69.85833333333333,1.0,23,0,0
8,长丰工业园,40.90697674418604,16.98875968992248,15.810077519379844,73.70581395348835,12.965116279069768,86.67093023255813,0.8837209302325582,5.0,69.03333333333333,0,39.550000000000004,15.1,1,40.06666666666666,66.25,1.0,26,0,0
9,庭威工业园,41.56393939393939,21.575757575757578,13.912727272727276,77.05242424242422,9.0,86.05242424242422,0.8545454545454545,5.0,37.6,0,21.116666666666667,5.0,0,43.0,67.06666666666666,1.0,14,0,0
10,立新湖福宁高新产业园,63.248076923076916,19.77435897435898,33.554487179487175,116.57692307692308,19.13461538461539,135.71153846153845,1.0,11.0,67.61666666666666,0,62.81666666666666,17.0,0,68.01666666666667,104.31666666666666,1.0,43,0,0
11,泰熙产业园,42.814062500000006,21.215104166666666,36.88489583333333,100.91406250000001,18.437499999999996,119.35156249999997,0.75,8.0,51.0,0,51.0,8.0,0,41.0,92.95833333333334,1.0,37,0,0
