,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,华强创意产业园,47.64411764705884,21.287908496732026,32.03006535947712,100.96209150326798,18.872549019607842,119.8346405228758,1.2352941176470589,17.0,114.21666666666668,0,60.63333333333334,24.0,0,45.15,102.76666666666667,1.0,10,0,0
1,深圳市生物医药创新产业园,47.68260869565218,19.285507246376813,80.20724637681157,147.17536231884057,26.630434782608695,173.8057971014493,0.782608695652174,2.0,113.71666666666667,0,108.26666666666667,37.61666666666667,1,33.55,145.18333333333334,1.0,38,0,0
2,福田国际电子商务产业园,33.30913978494624,20.331720430107524,5.370430107526881,59.01129032258064,6.451612903225806,65.46290322580644,0.6129032258064516,7.0,26.266666666666666,0,26.03333333333333,11.5,1,28.0,55.516666666666666,1.0,30,0,0
3,中国(深圳)新媒体广告产业园,33.63252032520326,12.243902439024392,7.521544715447154,53.397967479674804,7.560569105691057,60.958536585365856,0.7560975609756098,3.0,13.166666666666666,0,13.166666666666666,3.0,0,29.0,54.45,1.0,20,0,0
4,湾区人工智能产业园,48.41416666666666,23.742499999999996,22.564999999999994,94.72166666666665,16.375,111.09666666666666,0.6,14.4,50.016666666666666,1,50.016666666666666,14.4,1,42.0,86.90833333333333,0.5,41,0,0
5,深圳市互联网产业园,42.826388888888886,12.448611111111113,3.766319444444445,59.04131944444444,8.802083333333334,67.84340277777777,1.0208333333333333,5.0,17.516666666666666,0,16.85,8.0,0,42.125,61.21666666666667,1.0,12,0,1
6,大百汇生命健康产业园,55.30493827160495,15.39567901234568,8.951851851851854,79.65246913580248,11.296296296296294,90.94876543209877,1.037037037037037,8.0,49.7,0,49.7,8.0,0,60.11666666666667,80.28333333333333,1.0,34,0,0
7,高新奇战略新兴产业园,39.92482993197278,14.915986394557823,7.379591836734691,62.2204081632653,16.73469387755102,78.95510204081633,0.8775510204081632,5.0,39.18333333333334,0,26.566666666666666,7.0,0,37.38333333333333,57.416666666666664,1.0,12,0,0
8,长丰工业园,39.38074074074074,14.021851851851855,7.071481481481481,60.47407407407407,11.166666666666666,71.64074074074074,0.8888888888888888,7.0,31.316666666666666,0,27.71666666666667,11.4,1,37.38333333333333,59.800000000000004,1.0,16,0,0
9,庭威工业园,38.665497076023385,19.547953216374268,3.293859649122807,61.507309941520475,7.587719298245614,69.09502923976609,0.8596491228070176,4.0,34.8,0,26.683333333333334,7.0,0,36.0,59.63333333333333,1.0,4,0,0
