,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,鹏飞路310号,32.97569444444444,32.52847222222222,97.02291666666667,162.52708333333334,26.770138888888894,189.29722222222225,0.375,4.0,133.58333333333331,0,106.6,14.233333333333333,1,29.191666666666666,162.06666666666666,0.0,26,0,0
1,双晖现代农业,57.68916666666668,23.609583333333333,30.557499999999997,111.85625000000002,19.374999999999996,131.23125,1.05,20.0,79.8,0,73.48333333333333,26.483333333333334,1,55.00833333333333,102.43333333333334,1.0,10,0,0
2,宝安区福永街道办事处凤凰社区,67.25,23.446376811594202,22.960144927536238,113.65652173913043,17.717391304347824,131.37391304347827,0.9130434782608695,18.0,44.233333333333334,0,44.233333333333334,18.0,0,71.01666666666667,106.60000000000001,1.0,27,0,0
3,同乐社区,61.54866666666667,27.21866666666667,18.749999999999996,107.51733333333335,12.0,119.51733333333335,0.92,16.0,53.983333333333334,0,53.983333333333334,16.0,0,66.8,109.28333333333333,1.0,25,0,0
4,新羌社区,57.460683760683786,21.6,27.413247863247868,106.47393162393163,18.846153846153847,125.32008547008546,1.0,20.0,71.58333333333333,0,61.099999999999994,22.483333333333334,1,55.233333333333334,98.13333333333333,1.0,11,0,0
5,凤歧路20号,43.53823529411767,28.4671568627451,20.116666666666664,92.12205882352937,14.926470588235293,107.04852941176466,0.7941176470588235,5.0,88.3,0,50.66666666666667,19.0,0,48.3,90.025,1.0,16,0,0
6,大鹏街道,48.528947368421065,22.1561403508772,57.041228070175436,127.72631578947369,15.526315789473678,143.25263157894733,0.7894736842105263,4.0,99.45,0,96.83333333333334,13.233333333333333,1,54.71666666666667,129.8,1.0,31,0,0
7,新大路,42.28260869565217,30.92971014492753,92.4630434782609,165.67536231884063,17.391304347826086,183.06666666666672,0.7391304347826086,13.233333333333333,118.8,1,114.01666666666667,14.233333333333333,1,43.016666666666666,162.21666666666667,1.0,27,0,0
8,华润五丰农产品深圳有限公司,47.52023809523809,22.260714285714283,8.896428571428572,78.67738095238096,13.928571428571429,92.60595238095239,0.7142857142857143,8.0,28.48333333333333,0,28.48333333333333,8.0,0,49.59166666666667,78.55833333333334,1.0,36,0,0
9,灿城农产品物流园,57.49024390243905,16.30162601626016,10.722764227642278,84.51463414634145,12.134146341463412,96.64878048780487,1.1219512195121952,8.0,23.666666666666664,0,23.666666666666664,8.0,0,55.15,78.9,1.0,9,0,0
10,根玉路15号,51.35483870967742,15.49354838709677,39.63010752688171,106.47849462365593,19.516129032258064,125.994623655914,1.1290322580645162,5.0,68.78333333333333,0,68.78333333333333,5.0,0,50.233333333333334,99.73333333333332,1.0,19,0,0
11,金源路16号,50.376315789473665,20.666666666666664,17.005701754385967,88.0486842105263,16.842105263157897,104.89078947368421,0.8947368421052632,4.0,28.816666666666663,0,28.816666666666663,4.0,0,53.20833333333333,87.65833333333333,1.0,12,0,0
12,深圳市光明区光明街道办事处,53.34166666666669,18.17613636363636,9.427272727272728,80.94507575757576,10.340909090909092,91.28598484848486,1.1363636363636365,18.0,49.88333333333333,0,49.6,18.0,0,51.81666666666666,76.375,1.0,6,0,0
13,富临路2号,66.23774509803921,13.780392156862748,45.38872549019609,125.40686274509801,18.676470588235297,144.08333333333337,0.8235294117647058,4.0,55.03333333333333,0,55.03333333333333,4.0,0,64.80833333333334,124.525,1.0,16,0,0
14,杓妈岭工业区,34.86075268817204,21.56075268817204,7.596236559139785,64.01774193548387,8.709677419354836,72.7274193548387,0.6129032258064516,9.0,31.1,0,30.0,11.0,0,32.06666666666666,59.71666666666667,1.0,19,0,0
15,深坑工业区,42.535,22.157777777777778,9.446666666666669,74.13944444444444,9.333333333333334,83.47277777777778,0.8,5.0,27.516666666666666,0,27.516666666666666,5.0,0,38.30833333333334,72.025,1.0,20,0,0
16,龙山工业区,38.52809523809524,21.88285714285714,6.6433333333333335,67.05428571428571,10.428571428571429,77.48285714285713,0.8571428571428571,7.166666666666667,29.45,1,29.45,7.166666666666667,1,34.0,66.43333333333332,1.0,15,0,0
17,创业二路北巷,46.080000000000005,18.614761904761906,9.515238095238095,74.20999999999998,9.571428571428571,83.78142857142856,0.8285714285714286,7.1,26.31666666666667,1,26.31666666666667,7.1,1,47.06666666666666,70.73333333333333,1.0,14,0,1
18,深圳市鼎盛肉业食品有限公司,43.46914893617022,17.8531914893617,25.606737588652486,86.92907801418437,19.73404255319149,106.66312056737586,1.1063829787234043,7.0,55.38333333333333,0,46.91666666666667,8.0,0,41.86666666666667,81.43333333333334,1.0,3,0,0
