,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,鹏飞路310号,34.76342592592593,33.21805555555556,103.80138888888891,171.78287037037032,27.291666666666664,199.074537037037,0.25,4.0,139.16666666666669,0,103.18333333333334,7.0,0,37.0,170.2,0.0,33,0,0
1,双晖现代农业,56.6185534591195,25.5251572327044,37.94716981132076,120.09088050314462,19.764150943396228,139.85503144654086,0.9433962264150944,2.0,41.65,0,41.65,2.0,0,51.0,109.98333333333332,1.0,16,0,0
2,宝安区福永街道办事处凤凰社区,67.20049019607843,23.013235294117646,38.25049019607843,128.4642156862745,19.779411764705884,148.24362745098037,0.9411764705882353,7.0,58.516666666666666,0,52.78333333333333,15.0,0,70.01666666666667,116.34166666666667,1.0,35,0,0
3,同乐社区,70.3373873873874,24.882432432432438,25.388288288288287,120.60810810810811,13.986486486486486,134.5945945945946,0.8648648648648649,9.0,63.71666666666667,0,52.13333333333333,16.0,0,67.61666666666667,127.10000000000002,1.0,32,0,0
4,新羌社区,57.26069182389937,21.92798742138364,35.212893081761,114.40157232704404,19.43364779874214,133.83522012578615,0.8867924528301887,3.0,46.4,0,46.4,3.0,0,53.0,103.83333333333333,1.0,16,0,0
5,凤歧路20号,52.03229166666668,29.526388888888892,26.202083333333334,107.7607638888889,16.041666666666668,123.80243055555559,0.8958333333333334,12.0,75.95,0,55.81666666666666,23.0,0,51.15,104.14999999999999,1.0,21,0,0
6,大鹏街道,54.25196078431374,26.288235294117655,65.10588235294118,145.64607843137256,17.5,163.14607843137253,0.8235294117647058,7.0,83.51666666666667,0,83.51666666666667,7.0,0,55.475,147.175,1.0,35,0,0
7,新大路,41.35436507936509,31.70357142857143,98.35198412698416,171.40992063492058,17.142857142857142,188.55277777777772,0.42857142857142855,4.0,140.25,0,113.8,7.0,0,41.45,174.35,0.0,27,0,0
8,华润五丰农产品深圳有限公司,47.537333333333336,25.943333333333335,19.361333333333334,92.84200000000001,14.3,107.14200000000002,0.64,8.0,27.366666666666667,0,27.366666666666667,8.0,0,49.15,81.93333333333334,1.0,44,0,0
9,灿城农产品物流园,60.87433862433861,16.713756613756615,16.01931216931217,93.6074074074074,13.214021164021164,106.82142857142857,1.1111111111111112,20.0,38.5,0,38.5,20.0,0,56.06666666666667,84.7,1.0,6,0,0
10,根玉路15号,46.260185185185186,21.125462962962963,52.28472222222222,119.67037037037034,18.819444444444443,138.4898148148148,0.8611111111111112,5.0,69.03333333333333,0,51.666666666666664,6.0,0,38.11666666666667,111.63333333333333,1.0,33,0,0
11,金源路16号,62.324333333333335,23.11,15.055333333333335,100.48966666666666,16.9,117.38966666666667,0.96,4.0,24.78333333333333,0,24.78333333333333,4.0,0,60.11666666666667,103.625,1.0,19,0,0
12,深圳市光明区光明街道办事处,53.872222222222234,20.60204678362573,15.354093567251464,89.82836257309943,10.307017543859649,100.13538011695908,1.0175438596491229,3.0,29.516666666666666,0,25.35,8.0,0,51.483333333333334,82.91666666666666,1.0,12,0,0
13,富临路2号,76.72829457364342,16.108139534883723,48.39573643410852,141.23217054263566,17.96511627906977,159.1972868217054,0.8604651162790697,16.0,71.31666666666666,0,71.31666666666666,16.0,0,78.76666666666667,146.08333333333331,1.0,26,0,0
14,杓妈岭工业区,37.454901960784326,24.4921568627451,13.529084967320259,75.47614379084968,10.049019607843137,85.5251633986928,0.5098039215686274,9.0,31.233333333333334,0,31.233333333333334,9.0,0,34.15,70.7,1.0,18,0,0
15,深坑工业区,45.00515151515152,23.19454545454546,17.64363636363636,85.84333333333329,10.863636363636363,96.70696969696967,0.7272727272727273,4.0,63.56666666666667,0,23.533333333333335,5.0,0,43.61666666666667,87.3,1.0,14,0,0
16,龙山工业区,39.050303030303034,23.848484848484855,15.599696969696968,78.49848484848485,10.863333333333333,89.36181818181821,0.7454545454545455,5.0,29.25,0,29.25,5.0,0,36.166666666666664,80.91666666666667,1.0,14,0,0
17,创业二路北巷,47.06766666666665,21.709333333333337,15.51166666666667,84.28866666666664,9.7,93.98866666666665,0.88,8.0,68.06666666666666,0,36.65,11.1,1,49.575,73.75,1.0,19,0,0
18,深圳市鼎盛肉业食品有限公司,43.14535519125683,20.760655737704916,33.493169398907106,97.39918032786886,19.508196721311474,116.90737704918034,1.0327868852459017,5.0,56.33333333333333,0,46.266666666666666,11.0,0,42.05,92.6,1.0,8,0,0
