,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,鹏飞路310号,25.1655982905983,28.500854700854696,96.27051282051282,149.93696581196582,28.076923076923077,178.0138888888889,0.2948717948717949,2.0,148.3,0,81.61666666666667,8.0,0,23.5,144.95833333333331,0.0,0,0,3
1,双晖现代农业,56.08004115226338,25.01748971193415,27.2633744855967,108.36090534979422,20.09238683127572,128.4532921810699,1.2098765432098766,15.0,54.58333333333333,0,54.58333333333333,15.0,0,54.15,104.30000000000001,1.0,0,0,0
2,宝安区福永街道办事处凤凰社区,62.82479166666667,24.302708333333335,31.391458333333322,118.51895833333329,19.156041666666667,137.67499999999998,1.0,3.0,45.88333333333333,0,37.56666666666666,5.0,0,63.925,113.725,1.0,0,0,1
3,同乐社区,53.61858974358976,29.055341880341874,21.08547008547008,103.75940170940173,14.070512820512821,117.82991452991456,0.7692307692307693,2.0,37.56666666666666,0,37.56666666666666,2.0,0,58.56666666666666,104.59166666666667,1.0,0,0,3
4,新羌社区,53.7656378600823,22.237448559670785,22.841152263374482,98.8442386831276,20.215843621399177,119.06008230452677,1.2222222222222223,4.0,106.41666666666667,0,44.833333333333336,15.0,0,53.15,95.9,1.0,0,0,0
5,凤歧路20号,41.74770833333331,30.617916666666666,18.824375,91.18999999999997,17.59375,108.78375000000001,0.8,2.0,87.75,0,51.83333333333333,9.0,0,42.733333333333334,87.01666666666667,1.0,0,0,1
6,大鹏街道,34.11363636363637,24.22402597402598,66.175974025974,124.51363636363638,17.75974025974026,142.27337662337666,0.37662337662337664,3.0,81.36666666666666,0,81.36666666666666,3.0,0,37.0,124.13333333333333,0.0,0,0,4
7,新大路,28.37770562770563,31.39913419913421,97.01839826839824,156.79523809523812,18.343722943722945,175.13896103896104,0.4155844155844156,4.0,182.98333333333335,0,110.69999999999999,5.0,0,22.9,154.85000000000002,0.0,0,0,4
8,华润五丰农产品深圳有限公司,40.51381578947368,27.192324561403517,9.192105263157893,76.89824561403506,10.55921052631579,87.45745614035086,0.6447368421052632,3.0,26.1,0,26.1,3.0,0,37.03333333333333,70.33333333333333,1.0,0,0,5
9,灿城农产品物流园,54.12139917695472,15.178806584362146,10.632716049382715,79.93292181069961,12.932098765432098,92.86502057613171,0.9876543209876543,4.0,88.28333333333333,0,32.3,20.0,0,54.06666666666667,75.78333333333333,1.0,0,0,0
10,根玉路15号,41.08744855967079,19.766460905349792,35.48786008230452,96.3417695473251,19.753086419753085,116.0948559670782,1.0740740740740742,3.0,81.66666666666666,0,51.05,10.0,0,40.13333333333333,90.85,1.0,0,0,0
11,金源路16号,41.94506172839509,17.94074074074074,19.89156378600823,79.77736625514402,18.209876543209877,97.9872427983539,0.7283950617283951,4.0,70.89999999999999,0,28.166666666666664,8.0,0,40.8,77.98333333333333,1.0,0,0,0
12,深圳市光明区光明街道办事处,54.42119341563786,18.739094650205764,6.537860082304526,79.69814814814812,10.061728395061728,89.75987654320986,1.2962962962962963,18.0,38.68333333333334,0,38.5,21.0,0,52.15,75.51666666666667,1.0,0,0,0
13,富临路2号,52.43625000000001,24.746250000000003,44.344375,121.52687500000002,18.03125,139.55812500000002,0.675,2.0,94.28333333333333,0,61.53333333333333,2.0,0,52.80833333333334,120.60833333333333,1.0,0,0,1
14,杓妈岭工业区,30.623628691983132,22.004641350210974,6.788607594936709,59.41687763713078,8.924050632911392,68.34092827004218,0.4430379746835443,2.0,20.6,0,20.6,2.0,0,30.0,58.66666666666667,0.0,0,0,2
15,深坑工业区,35.424485596707825,22.233950617283956,6.656172839506173,64.31460905349795,9.783950617283951,74.0985596707819,0.8148148148148148,2.0,18.783333333333335,0,18.783333333333335,2.0,0,33.4,62.0,1.0,0,0,0
16,龙山工业区,31.629957805907182,23.448312236286917,4.970253164556962,60.04852320675105,8.291139240506329,68.33966244725738,0.8607594936708861,2.0,42.78333333333333,0,21.9,3.0,0,30.566666666666666,60.349999999999994,1.0,0,0,2
17,创业二路北巷,42.000438596491215,18.534868421052632,7.242105263157894,67.77741228070174,8.848464912280702,76.62587719298244,0.7763157894736842,3.0,21.78333333333333,0,21.78333333333333,3.0,0,38.141666666666666,63.16666666666667,1.0,0,0,5
18,深圳市鼎盛肉业食品有限公司,43.84259259259262,16.30061728395062,24.680246913580223,84.82345679012346,20.09259259259259,104.91604938271604,1.308641975308642,7.0,42.3,0,42.3,7.0,0,41.15,79.75,1.0,0,0,0
