,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,龙岗创投大厦,49.94166666666666,24.82291666666666,35.40833333333333,110.17291666666665,16.250000000000004,126.42291666666665,0.5,4.0,50.15,0,50.15,4.0,0,46.5,116.275,0.5,34,0,0
1,深圳国际文化大厦,31.351923076923075,20.99615384615384,8.225641025641027,60.57371794871794,9.51923076923077,70.09294871794872,0.23076923076923078,4.0,27.75,0,27.333333333333336,4.0,0,27.53333333333333,57.46666666666667,0.0,23,0,1
2,中银大厦,33.41666666666667,17.520731707317076,8.728455284552846,59.6658536585366,8.109756097560977,67.77560975609757,0.43902439024390244,5.233333333333333,20.833333333333332,1,16.05,6.233333333333333,1,34.0,56.81666666666666,0.0,9,0,0
3,新闻大厦,34.71075268817204,20.159677419354836,4.508064516129032,59.378494623655904,7.419354838709679,66.79784946236559,0.5161290322580645,4.0,20.583333333333336,0,20.583333333333336,4.0,0,37.233333333333334,60.08333333333333,1.0,19,0,0
4,北方大厦,33.280180180180174,11.596396396396397,7.649099099099098,52.52567567567567,8.04054054054054,60.56621621621621,0.8108108108108109,4.0,20.566666666666666,0,17.683333333333334,7.0,0,33.56666666666666,50.9,1.0,13,0,0
5,中国联通大厦,30.744017094017092,14.035470085470083,5.861538461538461,50.64102564102563,7.5,58.14102564102564,0.46153846153846156,4.0,22.78333333333333,0,19.71666666666667,11.866666666666667,1,31.483333333333334,47.68333333333334,0.0,11,0,0
6,深圳特区报业大厦,37.16319444444445,20.709027777777777,8.098611111111111,65.97083333333332,9.895833333333334,75.86666666666666,0.25,6.0,23.833333333333332,0,23.833333333333332,6.0,0,36.31666666666666,64.86666666666667,0.0,26,0,0
7,国贸大厦,36.2347619047619,18.042857142857144,4.87,59.147619047619045,6.999999999999998,66.14761904761906,0.42857142857142855,4.0,18.366666666666667,0,18.366666666666667,4.0,0,39.6,61.333333333333336,0.0,15,0,0
8,平安银行大厦,31.50243902439024,13.66869918699187,6.026016260162602,51.19715447154471,7.317073170731708,58.51422764227642,0.6585365853658537,3.0,15.683333333333334,0,14.05,8.866666666666667,1,34.63333333333333,51.266666666666666,1.0,9,0,0
9,中兴智汇大厦,51.530882352941155,18.713235294117645,5.975980392156863,76.2200980392157,8.897058823529411,85.11715686274509,0.8823529411764706,2.0,20.96666666666667,0,18.533333333333335,8.0,0,52.50833333333333,74.55833333333334,1.0,16,0,0
10,神舟电脑大厦,35.71435185185185,20.859722222222217,5.746296296296297,62.32037037037037,9.166666666666666,71.48703703703706,1.3333333333333333,4.0,18.116666666666667,0,18.116666666666667,4.0,0,32.88333333333333,58.19166666666666,1.0,14,0,0
11,横岗大厦,46.61458333333332,12.022083333333333,6.786250000000001,65.42291666666668,9.3125,74.73541666666668,0.925,9.0,23.883333333333333,0,17.8,12.0,0,46.84166666666667,65.51666666666668,1.0,10,0,0
12,和平大厦,36.36896551724138,18.55689655172414,4.508620689655173,59.43448275862067,6.896551724137931,66.33103448275862,0.3793103448275862,4.0,18.5,0,18.5,4.0,0,39.6,58.233333333333334,0.0,21,0,0
13,华侨城大厦,43.470114942528724,19.382758620689653,7.604597701149424,70.45747126436783,10.0,80.45747126436781,0.8275862068965517,8.0,24.699999999999996,0,24.699999999999996,8.0,0,45.0,70.13333333333334,1.0,21,0,0
14,百仕达大厦,37.63908045977011,21.241954022988505,8.913218390804598,67.79425287356322,12.413793103448276,80.20804597701151,0.4827586206896552,3.0,28.78333333333333,0,28.78333333333333,3.0,0,35.06666666666666,69.13333333333333,0.0,21,0,0
15,深业大厦,38.825806451612905,18.21505376344086,8.834408602150537,65.8752688172043,10.564516129032258,76.43978494623657,0.41935483870967744,10.0,32.56666666666666,0,21.783333333333335,11.866666666666667,1,40.0,66.8,0.0,19,0,0
16,深华商业大厦,37.6752688172043,14.59784946236559,3.8440860215053765,56.11720430107526,7.177419354838711,63.29462365591397,0.6451612903225806,6.633333333333333,14.816666666666666,1,14.816666666666666,6.633333333333333,1,39.6,55.333333333333336,1.0,18,0,1
17,南方证券大厦,38.29516129032258,16.317741935483873,3.130645161290322,57.74354838709678,7.096774193548387,64.84032258064516,0.6774193548387096,6.633333333333333,16.9,1,16.9,6.633333333333333,1,40.56666666666666,56.9,1.0,19,0,0
18,振业大厦,33.1828431372549,18.94852941176471,3.7289215686274506,55.86029411764707,6.470588235294118,62.33088235294119,0.5294117647058824,3.0,18.966666666666665,0,18.28333333333333,4.0,0,36.53333333333333,58.05,0.5,16,0,0
