,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,沙河街道,47.686190476190475,24.46666666666666,12.47047619047619,84.62333333333333,9.285714285714286,93.90904761904761,0.6857142857142857,18.0,44.7,0,41.516666666666666,19.816666666666666,1,46.95,83.38333333333333,1.0,15,0,0
1,粤海街道,48.06212121212122,21.81969696969697,6.795454545454546,76.67727272727272,8.333333333333334,85.01060606060605,0.9696969696969697,8.0,37.38333333333333,0,29.78333333333333,11.0,0,46.6,71.81666666666666,1.0,17,0,0
2,南头街道,48.55476190476191,26.967857142857138,15.641666666666667,91.16428571428571,13.75,104.91428571428571,0.6785714285714286,11.0,41.13333333333333,0,41.13333333333333,11.0,0,44.11666666666667,85.45,1.0,22,0,0
3,招商街道,58.43833333333331,12.000666666666662,9.489333333333335,79.92833333333334,8.2,88.12833333333334,0.6,18.0,42.11666666666667,0,33.6,22.1,1,57.56666666666666,71.71666666666667,1.0,0,0,0
4,蛇口街道,59.09105691056912,22.08211382113821,5.076829268292683,86.25,8.536585365853659,94.78658536585365,0.9512195121951219,26.133333333333333,45.83333333333333,1,45.83333333333333,26.133333333333333,1,59.95,79.91666666666667,1.0,9,0,0
5,西丽街道,39.75444444444445,30.08111111111112,24.177777777777784,94.01333333333334,14.08333333333333,108.09666666666664,0.6333333333333333,5.0,57.7,0,57.7,5.0,0,33.575,78.46666666666667,1.0,20,0,0
6,桃源街道,39.04583333333333,19.65340909090909,11.18787878787879,69.88712121212119,13.636363636363638,83.52348484848484,0.9090909090909091,7.0,42.85,0,35.93333333333333,10.0,0,39.25,62.69166666666666,1.0,6,0,0
7,园岭街道,35.388596491228064,17.332017543859653,4.428508771929824,57.149122807017555,8.223684210526315,65.37280701754385,0.9210526315789473,4.0,57.96666666666667,0,13.85,5.0,0,37.95833333333333,57.21666666666667,1.0,12,0,0
8,沙头街道,37.81611111111111,35.81444444444443,6.922777777777777,80.55333333333333,7.583333333333333,88.13666666666667,0.7,4.0,38.8,0,38.8,4.0,0,37.49166666666667,76.29166666666666,1.0,20,0,0
9,南园街道,38.54285714285714,16.459999999999997,8.114761904761904,63.11761904761905,9.285714285714286,72.40333333333334,0.7428571428571429,2.0,12.9,0,12.9,2.0,0,38.5,60.233333333333334,1.0,15,0,0
10,福保街道,42.162878787878796,16.12575757575757,17.960606060606064,76.24924242424241,17.386363636363637,93.63560606060605,0.6818181818181818,10.0,41.233333333333334,0,39.46666666666667,17.9,1,40.29166666666667,69.51666666666667,1.0,6,0,0
11,莲花街道,37.36238095238095,17.78095238095238,8.128571428571428,63.27190476190476,7.857142857142857,71.12904761904761,0.8857142857142857,5.0,20.683333333333334,0,20.683333333333334,5.0,0,34.4,60.38333333333333,1.0,14,0,1
12,福田街道,39.584946236559134,22.961827956989247,5.800537634408602,68.347311827957,7.096774193548385,75.44408602150538,0.2903225806451613,8.0,23.483333333333334,0,23.483333333333334,8.0,0,37.08333333333333,64.08333333333333,0.0,19,0,0
13,梅林街道,40.08981481481483,33.01666666666666,11.055555555555559,84.16203703703704,15.13888888888889,99.30092592592592,0.9444444444444444,13.0,50.75,0,50.63333333333333,24.15,1,37.125,79.39999999999999,1.0,14,0,0
14,华富街道,35.667117117117115,18.455855855855855,8.297747747747747,62.42072072072073,7.905405405405405,70.32612612612616,0.5405405405405406,5.233333333333333,23.383333333333333,1,18.683333333333334,6.233333333333333,1,36.6,58.6,1.0,13,0,0
15,香蜜湖街道,41.32166666666667,28.461111111111116,14.256666666666668,84.03944444444446,11.75,95.78944444444446,0.5333333333333333,7.0,47.68333333333333,0,45.099999999999994,19.0,0,37.8,74.89166666666667,0.0,20,0,0
16,华强北街道,32.23833333333334,21.621111111111116,9.633888888888889,63.493333333333325,9.25,72.74333333333333,0.43333333333333335,4.0,25.28333333333333,0,25.28333333333333,4.0,0,33.56666666666666,60.133333333333326,0.0,20,0,0
17,南湖街道,38.97931034482759,29.61264367816092,8.213793103448278,76.80574712643677,9.482758620689655,86.28850574712642,0.7931034482758621,10.0,140.89999999999998,0,39.05,11.15,1,41.4,74.23333333333333,1.0,21,0,0
18,东湖街道,36.64404761904762,55.101190476190474,32.147619047619045,123.89285714285714,14.464285714285714,138.35714285714286,0.21428571428571427,19.0,104.08333333333334,0,97.81666666666666,26.0,0,32.0,120.69999999999999,0.0,36,0,0
19,莲塘街道,46.008119658119654,16.731623931623933,5.137606837606836,67.87735042735042,9.935897435897434,77.81324786324787,1.1282051282051282,10.0,25.533333333333335,0,25.533333333333335,10.0,0,46.13333333333333,70.03333333333333,1.0,11,0,0
20,清水河街道,35.31302083333334,20.928125,11.953645833333335,68.19479166666665,17.34375,85.53854166666663,0.8125,7.0,33.0,0,33.0,7.0,0,33.65,65.96666666666667,1.0,18,0,0
21,桂园街道,34.742647058823536,18.679901960784317,4.820588235294117,58.24313725490196,7.352941176470588,65.59607843137255,0.6470588235294118,2.0,19.183333333333334,0,19.183333333333334,2.0,0,32.875,58.49166666666666,1.0,16,0,0
22,黄贝街道,41.39583333333334,21.752083333333328,6.3546875,69.50260416666667,9.375,78.87760416666666,0.4375,10.0,33.68333333333333,0,30.25,13.866666666666667,1,40.858333333333334,72.80833333333334,0.0,18,0,0
23,东门街道,32.18888888888888,23.912393162393162,6.679914529914529,62.78119658119658,6.858974358974359,69.64017094017095,0.41025641025641024,1.0,23.266666666666666,0,20.283333333333335,4.0,0,33.0,65.41666666666667,0.0,11,0,0
24,翠竹街道,37.844270833333326,19.741666666666667,7.897395833333334,65.48333333333335,12.031250000000002,77.51458333333333,0.78125,4.0,23.916666666666668,0,23.916666666666668,4.0,0,37.80833333333334,66.3,1.0,18,0,0
25,笋岗街道,35.030107526881714,16.455376344086023,5.065053763440861,56.550537634408585,7.17741935483871,63.7279569892473,0.7096774193548387,4.0,20.166666666666668,0,19.46666666666667,9.0,0,36.63333333333333,55.16666666666667,1.0,19,0,0
26,东晓街道,38.22222222222223,23.172222222222217,7.00925925925926,68.4037037037037,9.351851851851855,77.75555555555556,0.7407407407407407,5.566666666666666,24.966666666666665,1,24.966666666666665,5.566666666666666,1,35.56666666666666,66.66666666666666,1.0,23,0,0
27,南山街道,57.08020833333331,17.126041666666662,9.621527777777779,83.82777777777777,8.541666666666666,92.36944444444445,0.8333333333333334,16.0,64.75,0,34.36666666666667,20.1,1,57.016666666666666,78.30833333333334,1.0,2,0,0
