,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,沙河街道,45.6774074074074,25.34481481481481,14.093703703703701,85.11592592592594,10.333333333333334,95.44925925925925,0.7111111111111111,3.0,22.400000000000002,0,22.400000000000002,3.0,0,44.0,76.13333333333333,1.0,24,0,0
1,粤海街道,49.511711711711705,25.159009009009015,11.752702702702702,86.42342342342343,9.459459459459461,95.8828828828829,1.2162162162162162,11.0,36.6,0,36.6,11.0,0,46.0,82.26666666666667,1.0,32,0,0
2,南头街道,48.23733333333335,26.554000000000002,12.836000000000002,87.62733333333334,13.3,100.92733333333335,0.76,3.0,51.41666666666667,0,35.38333333333333,11.0,0,51.0,84.86666666666666,1.0,44,0,0
3,招商街道,55.07164179104477,15.890547263681594,11.400248756218906,82.36243781094528,8.955223880597014,91.31766169154228,0.6119402985074627,3.0,14.583333333333334,0,14.583333333333334,3.0,0,58.88333333333333,77.68333333333334,1.0,2,0,0
4,蛇口街道,59.15253623188407,23.371014492753623,10.935507246376812,93.4590579710145,9.673913043478262,103.13297101449275,1.0434782608695652,10.0,41.416666666666664,0,41.416666666666664,10.0,0,57.30833333333334,83.99166666666667,1.0,23,0,0
5,西丽街道,37.321505376344085,31.251075268817203,19.25483870967742,87.82741935483871,12.5,100.32741935483871,0.45161290322580644,10.0,69.08333333333333,0,54.41666666666667,14.0,0,38.15,77.44999999999999,0.0,38,0,0
6,桃源街道,38.68427672955974,21.07704402515723,17.281446540880506,77.04276729559749,13.537735849056606,90.58050314465409,0.8301886792452831,7.0,48.983333333333334,0,30.9,7.0,0,39.15,64.93333333333332,1.0,16,0,0
7,园岭街道,38.49555555555555,19.654444444444444,7.275925925925926,65.42592592592591,8.555555555555555,73.98148148148148,0.8222222222222222,6.233333333333333,14.866666666666667,1,14.866666666666667,6.233333333333333,1,43.0,67.36666666666667,1.0,24,0,0
8,沙头街道,44.871904761904766,37.36238095238095,13.723333333333334,95.95761904761902,8.928571428571427,104.88619047619045,0.7428571428571429,10.0,48.68333333333334,0,48.68333333333334,10.0,0,48.233333333333334,90.03333333333333,1.0,34,0,0
9,南园街道,36.86201550387596,19.725968992248063,9.348062015503876,65.9360465116279,8.779069767441861,74.71511627906976,0.8372093023255814,6.0,26.7,0,20.916666666666668,10.233333333333334,1,36.0,71.95,1.0,26,0,0
10,福保街道,44.91527777777777,17.31840277777777,23.34479166666667,85.57847222222222,18.385416666666668,103.96388888888889,0.6458333333333334,11.0,29.866666666666667,0,29.866666666666667,11.0,0,45.425,86.02499999999999,1.0,21,0,0
