,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,坪山街道,62.86515151515152,24.862121212121203,38.293939393939404,126.02121212121214,17.727272727272723,143.74848484848488,1.0,3.0,55.050000000000004,0,55.050000000000004,3.0,0,60.25833333333333,129.875,1.0,28,0,0
1,石井街道,56.18958333333333,36.37430555555556,72.3583333333333,164.92222222222225,18.437500000000004,183.35972222222225,0.7083333333333334,7.0,102.53333333333333,0,102.53333333333333,7.0,0,57.28333333333333,165.00833333333333,1.0,26,0,0
2,碧岭街道,42.574666666666666,35.12,36.364666666666665,114.05933333333333,19.500000000000004,133.5593333333333,0.56,2.0,83.71666666666667,0,72.21666666666667,21.0,0,32.0,119.44999999999999,1.0,25,0,0
3,马峦街道,37.904999999999994,105.87916666666668,72.72166666666666,216.5058333333333,23.375000000000004,239.8808333333333,0.55,7.0,175.48333333333335,0,160.83333333333334,12.0,0,34.78333333333333,212.875,0.5,30,0,0
4,龙田街道,67.05892857142855,49.96785714285714,41.62499999999999,158.65178571428572,17.14285714285714,175.79464285714283,0.9285714285714286,6.0,83.53333333333333,0,83.53333333333333,6.0,0,69.95,159.21666666666667,1.0,22,0,0
5,平湖街道,48.904651162790714,16.081007751937985,11.731007751937984,76.71666666666668,10.0,86.71666666666667,1.0,4.0,68.73333333333333,0,18.28333333333333,6.0,0,51.88333333333333,71.95,1.0,7,0,0
6,布吉街道,35.422222222222224,30.521212121212123,6.665656565656567,72.6090909090909,8.636363636363637,81.24545454545454,0.45454545454545453,5.0,30.766666666666666,0,30.766666666666666,5.0,0,32.0,71.98333333333333,0.0,17,0,0
7,龙城街道,55.12291666666666,24.96875,18.975000000000005,99.06666666666666,17.708333333333332,116.77499999999999,0.8333333333333334,9.0,39.4,0,39.4,9.0,0,51.05833333333334,102.75833333333333,1.0,26,0,0
8,坂田街道,33.16481481481482,18.019444444444446,5.076851851851853,56.2611111111111,7.638888888888889,63.89999999999999,0.7222222222222222,7.0,17.78333333333333,0,17.78333333333333,7.0,0,28.78333333333333,52.391666666666666,1.0,14,0,0
9,葵涌街道,43.808333333333344,29.948333333333327,64.74444444444445,138.50111111111113,22.91555555555556,161.41666666666669,0.5333333333333333,6.0,96.10000000000001,0,84.78333333333333,10.0,0,40.24166666666667,135.6583333333333,0.5,20,0,0
10,横岗街道,40.90736434108526,12.515891472868216,10.305038759689923,63.72829457364341,9.593023255813954,73.32131782945736,0.8837209302325582,5.0,17.45,0,17.45,5.0,0,39.766666666666666,61.46666666666667,1.0,7,0,0
11,龙岗街道,60.558080808080796,26.547979797979796,29.713636363636354,116.81969696969693,18.863636363636363,135.68333333333328,0.8484848484848485,10.0,88.10000000000001,0,60.75,12.0,0,61.61666666666667,109.71666666666667,1.0,17,0,0
12,南湾街道,38.4,23.672727272727272,16.71136363636364,78.78409090909092,12.727272727272727,91.51136363636364,0.4090909090909091,11.0,43.31666666666667,0,38.483333333333334,12.0,0,30.59166666666667,79.69999999999999,0.0,28,0,0
13,宝龙街道,67.56617647058822,38.0343137254902,22.19019607843137,127.7906862745098,16.911764705882348,144.70245098039217,0.9411764705882353,18.0,70.11666666666667,0,70.11666666666667,18.0,0,67.50833333333334,126.15833333333335,1.0,16,0,0
14,坪地街道,62.16759259259259,14.148148148148147,31.11111111111111,107.42685185185188,16.38888888888889,123.81574074074075,0.9444444444444444,7.0,49.516666666666666,0,49.516666666666666,7.0,0,63.516666666666666,109.64166666666667,1.0,14,0,0
15,南澳街道,29.43133333333333,21.86933333333333,110.09333333333336,161.394,24.0,185.39399999999998,0.52,2.0,113.01666666666667,0,113.01666666666667,2.0,0,29.0,162.36666666666667,0.0,25,0,0
16,园山街道,45.85650406504064,21.94674796747967,26.200813008130076,94.00406504065042,18.23170731707317,112.23577235772356,0.8536585365853658,4.0,153.33333333333331,0,42.36666666666667,12.0,0,49.61666666666667,93.51666666666667,1.0,9,0,0
17,吉华街道,34.80588235294118,29.26617647058824,10.01764705882353,74.08970588235293,11.39705882352941,85.48676470588235,0.9411764705882353,13.883333333333333,38.833333333333336,1,38.833333333333336,13.883333333333333,1,32.0,68.19999999999999,1.0,16,0,0
18,大鹏街道,33.021264367816094,24.498850574712637,96.85172413793107,154.37183908045975,24.48275862068965,178.8545977011494,0.4827586206896552,4.0,128.91666666666666,0,101.43333333333334,14.233333333333333,1,29.233333333333334,155.8,0.0,21,0,0
19,坑梓街道,45.01133333333333,27.32266666666667,80.694,153.02799999999996,18.8,171.828,0.76,9.0,105.88333333333334,0,105.88333333333334,9.0,0,41.0,153.55,1.0,25,0,0
