,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,坪山街道,66.76565656565656,26.526767676767676,39.0449494949495,132.33737373737375,18.636363636363637,150.97373737373738,1.0,17.0,181.56666666666666,0,77.91666666666667,28.0,0,65.76666666666667,134.48333333333335,1.0,36,0,0
1,石井街道,63.43999999999999,33.74,66.12761904761904,163.307619047619,17.714285714285715,181.0219047619047,0.6,4.0,88.7,0,88.7,4.0,0,60.0,171.51666666666665,1.0,34,0,0
2,碧岭街道,49.58030303030303,36.1479797979798,37.64191919191919,123.37020202020202,18.257575757575758,141.6277777777778,0.36363636363636365,11.0,129.85,0,70.05,12.0,0,43.0,127.96666666666667,0.0,36,0,0
3,马峦街道,44.86666666666667,44.233823529411765,81.85098039215684,170.95147058823534,28.523529411764706,199.47500000000008,0.29411764705882354,6.0,158.21666666666667,0,111.81666666666666,9.0,0,43.05833333333334,173.43333333333334,0.0,35,0,0
4,龙田街道,61.36236559139783,48.683870967741946,64.4956989247312,174.541935483871,19.838709677419356,194.3806451612903,0.7419354838709677,12.0,122.06666666666666,0,122.06666666666666,12.0,0,59.61666666666667,178.2833333333333,1.0,38,0,0
5,平湖街道,51.90181818181817,17.580000000000005,16.05969696969697,85.54151515151514,11.681818181818182,97.22333333333331,1.0545454545454545,4.0,62.28333333333333,0,31.53333333333333,21.0,0,49.88333333333333,81.26666666666667,1.0,14,0,0
6,布吉街道,42.29342105263159,32.261842105263156,9.988596491228071,84.54385964912281,9.934210526315791,94.4780701754386,0.5526315789473685,5.0,34.93333333333334,0,34.93333333333334,5.0,0,40.075,85.0,1.0,31,0,0
7,龙城街道,59.22204301075268,24.09032258064517,21.532258064516125,104.84462365591398,18.38494623655914,123.22956989247314,0.7096774193548387,8.0,74.63333333333333,0,33.63333333333333,9.0,0,53.0,108.03333333333333,1.0,38,0,0
8,坂田街道,34.40243055555556,20.143402777777784,8.48125,63.02708333333334,8.802083333333334,71.82916666666667,0.6875,15.0,29.85,0,29.85,15.0,0,30.575,59.375,1.0,21,0,0
9,葵涌街道,41.95142857142858,27.62904761904761,73.2957142857143,142.87619047619046,25.06857142857143,167.9447619047619,0.2857142857142857,15.0,174.8,0,91.43333333333334,16.0,0,40.0,139.21666666666667,0.0,34,0,0
10,横岗街道,45.943103448275856,14.291666666666664,13.3632183908046,73.59798850574713,9.741379310344827,83.33936781609195,0.7586206896551724,5.0,13.466666666666667,0,13.466666666666667,5.0,0,43.20833333333333,71.15,1.0,11,0,0
11,龙岗街道,74.09298245614036,27.113157894736847,24.9688596491228,126.17500000000001,17.69736842105263,143.8723684210526,0.9210526315789473,12.0,53.483333333333334,0,53.483333333333334,12.0,0,77.69999999999999,130.275,1.0,31,0,0
12,南湾街道,43.13279569892474,25.80537634408602,21.309677419354838,90.24784946236558,15.64516129032258,105.89301075268818,0.4838709677419355,11.0,46.91666666666667,0,34.5,12.0,0,37.0,93.76666666666668,0.0,38,0,0
13,宝龙街道,76.82613636363637,35.980303030303034,21.73598484848485,134.54242424242423,16.59090909090909,151.13333333333333,0.8181818181818182,18.0,128.48333333333335,0,62.95,18.0,0,77.08333333333334,136.55,1.0,25,0,0
14,坪地街道,71.8631205673759,16.52978723404255,30.8968085106383,119.28971631205673,16.063829787234045,135.35354609929078,0.9148936170212766,12.0,176.25,0,46.43333333333334,16.0,0,71.76666666666667,118.43333333333332,1.0,22,0,0
15,南澳街道,37.75555555555556,24.91296296296296,102.10416666666669,164.77268518518514,23.678703703703704,188.45138888888889,0.3333333333333333,2.0,111.7,0,111.7,2.0,0,37.0,165.65000000000003,0.0,33,0,0
16,园山街道,53.68900709219858,22.715957446808517,31.169148936170213,107.57411347517728,19.680851063829785,127.25496453900709,0.9148936170212766,4.0,171.45,0,49.016666666666666,9.0,0,50.0,106.76666666666665,1.0,22,0,0
17,吉华街道,33.292857142857144,30.514965986394554,13.559183673469391,77.3670068027211,12.142857142857142,89.50986394557822,0.6326530612244898,10.0,43.63333333333333,0,43.63333333333333,10.0,0,28.0,77.66666666666666,1.0,20,0,0
18,大鹏街道,37.03181818181818,25.48232323232324,107.02070707070709,169.5348484848485,25.227272727272723,194.7621212121212,0.30303030303030304,7.0,93.44999999999999,0,93.44999999999999,7.0,0,38.15,159.96666666666667,0.0,36,0,0
19,坑梓街道,59.58376068376068,26.49059829059829,66.841452991453,152.91581196581197,17.500000000000004,170.415811965812,0.6666666666666666,9.0,93.61666666666667,0,93.61666666666667,9.0,0,53.0,152.55,1.0,30,0,0
