,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,坪山街道,62.44927536231885,22.860869565217396,37.04130434782609,122.35144927536233,16.195652173913043,138.54710144927537,0.9565217391304348,13.616666666666667,70.28333333333333,1,70.28333333333333,13.616666666666667,1,64.61666666666667,123.5,1.0,38,0,0
1,石井街道,55.91282051282052,34.29615384615385,65.225,155.43397435897438,17.5948717948718,173.0288461538462,0.6538461538461539,13.0,129.33333333333331,0,110.25,17.0,0,60.50833333333333,160.98333333333332,1.0,35,0,0
2,碧岭街道,39.86913580246914,33.15864197530865,36.97469135802469,110.00246913580246,17.870370370370367,127.87283950617282,0.5185185185185185,2.0,78.5,0,52.05,12.0,0,31.066666666666666,115.1,1.0,34,0,0
3,马峦街道,33.946666666666665,44.14222222222222,71.45777777777779,149.54666666666668,26.080000000000002,175.62666666666667,0.36666666666666664,2.0,117.88333333333333,0,117.41666666666667,21.616666666666667,1,32.05,150.18333333333334,0.0,31,0,0
4,龙田街道,48.50576923076923,49.16346153846154,63.83910256410258,161.50833333333333,19.23076923076923,180.73910256410255,0.6923076923076923,2.0,123.18333333333334,0,122.39999999999999,17.0,0,51.70833333333333,162.14166666666665,1.0,35,0,0
5,平湖街道,44.229666666666674,14.740333333333329,9.425333333333334,68.39533333333334,10.05,78.44533333333334,0.94,4.0,81.55,0,33.11666666666667,7.0,0,46.91666666666667,67.81666666666666,1.0,11,0,0
6,布吉街道,35.611666666666665,27.92888888888889,6.141111111111111,69.68166666666669,8.333333333333334,78.01500000000003,0.36666666666666664,4.0,41.3,0,34.65,7.0,0,32.0,65.85,0.0,31,0,0
7,龙城街道,53.202083333333334,25.52708333333333,12.174479166666668,90.90364583333334,15.3125,106.21614583333333,0.90625,13.0,38.016666666666666,0,38.016666666666666,13.0,0,50.4,86.73333333333332,1.0,29,0,0
8,坂田街道,31.30555555555556,17.608333333333334,3.1928571428571426,52.106746031746034,7.083333333333333,59.19007936507937,0.6904761904761905,11.0,42.45,0,28.53333333333333,15.0,0,28.0,48.625,1.0,19,0,0
9,葵涌街道,41.334523809523816,26.59821428571428,68.34761904761903,136.28035714285713,22.676190476190477,158.95654761904763,0.5714285714285714,2.0,115.2,0,100.25,18.183333333333334,1,41.19166666666666,133.39999999999998,1.0,33,0,0
10,横岗街道,37.451543209876526,12.75246913580248,4.907098765432099,55.11111111111109,8.148148148148149,63.25925925925923,0.8518518518518519,2.0,8.733333333333334,0,8.733333333333334,2.0,0,38.03333333333333,53.016666666666666,1.0,7,0,0
11,龙岗街道,59.3081081081081,26.382432432432438,25.868018018018017,111.55855855855854,17.296846846846844,128.8554054054054,0.8378378378378378,2.0,82.06666666666666,0,62.56666666666666,16.0,0,60.9,112.61666666666667,1.0,24,0,0
12,南湾街道,38.59935897435897,20.06282051282051,13.73141025641026,72.39358974358973,12.596153846153847,84.98974358974358,0.5,2.0,31.383333333333333,0,29.31666666666667,7.0,0,35.34166666666667,69.5,0.5,34,0,1
13,宝龙街道,60.866296296296305,34.10851851851853,19.619999999999994,114.59481481481485,16.5,131.09481481481484,0.8,22.0,63.68333333333334,0,63.68333333333334,22.0,0,62.06666666666667,112.48333333333333,1.0,16,0,0
14,坪地街道,60.38437500000001,14.094444444444443,28.18298611111111,102.66180555555552,16.302083333333332,118.96388888888885,0.7291666666666666,9.0,50.61666666666667,0,50.61666666666667,9.0,0,62.49166666666667,99.96666666666667,1.0,13,0,0
15,南澳街道,32.90121951219512,22.806097560975616,104.37967479674796,160.08699186991868,23.228455284552847,183.31544715447154,0.2926829268292683,7.0,110.91666666666667,0,110.91666666666667,7.0,0,32.0,150.23333333333335,0.0,20,0,0
16,园山街道,43.99687499999998,21.539930555555554,21.084374999999998,86.62118055555555,17.395833333333332,104.01701388888891,0.8333333333333334,8.0,60.31666666666667,0,46.13333333333333,14.0,0,43.0,84.04166666666666,1.0,13,0,0
17,吉华街道,34.030729166666674,27.798958333333342,3.546354166666666,65.37604166666668,8.984375,74.36041666666668,0.78125,4.0,33.45,0,33.45,4.0,0,28.791666666666664,64.75,1.0,29,0,0
18,大鹏街道,31.71547619047619,24.50357142857143,92.40238095238094,148.62142857142857,23.928571428571434,172.54999999999995,0.2857142857142857,7.0,191.85000000000002,0,106.78333333333335,10.0,0,24.616666666666667,145.81666666666666,0.0,33,0,0
19,坑梓街道,51.12777777777777,23.784444444444446,64.51666666666665,139.42888888888885,17.333333333333332,156.7622222222222,0.6333333333333333,4.0,71.86666666666667,0,71.86666666666667,4.0,0,52.34166666666667,140.73333333333335,1.0,31,0,0
