,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,凤凰街道,50.026587301587305,21.509126984126983,13.787301587301586,85.3230158730159,17.916666666666668,103.23968253968253,1.2142857142857142,12.0,53.300000000000004,0,52.71666666666667,12.0,0,47.625,77.39166666666667,1.0,8,0,0
1,玉塘街道,51.58571428571429,21.639047619047616,29.187619047619055,102.41238095238094,19.142857142857142,121.55523809523807,1.1714285714285715,6.0,56.65,0,56.65,6.0,0,48.233333333333334,93.8,1.0,15,0,0
2,光明街道,53.49428571428572,31.803809523809512,19.33761904761905,104.6357142857143,18.357142857142858,122.99285714285715,1.1428571428571428,10.0,107.0,0,75.98333333333333,33.15,1,50.233333333333334,99.23333333333333,1.0,15,0,0
3,公明街道,63.630263157894746,22.432894736842105,27.989035087719298,114.05219298245615,19.407894736842106,133.4600877192982,1.1842105263157894,30.0,87.81666666666666,0,80.98333333333333,40.483333333333334,1,60.075,107.43333333333334,1.0,12,0,0
4,新湖街道,61.88981481481483,40.77222222222224,17.518981481481482,120.18101851851848,19.236111111111107,139.41712962962958,1.0833333333333333,23.0,91.16666666666667,0,76.13333333333334,45.483333333333334,1,58.05,113.36666666666667,1.0,14,0,0
5,马田街道,67.8752380952381,20.448095238095235,19.530476190476193,107.85380952380953,19.571428571428573,127.42523809523809,1.2285714285714286,35.0,84.38333333333334,0,60.58333333333333,35.483333333333334,1,65.23333333333333,98.83333333333334,1.0,15,0,0
6,福永街道,63.54658119658119,19.30982905982906,12.105555555555556,94.96196581196581,15.128205128205128,110.09017094017094,1.0512820512820513,13.0,31.9,0,31.9,13.0,0,63.81666666666667,86.91666666666669,1.0,11,0,0
7,福海街道,60.25780141843971,22.31914893617022,9.666312056737587,92.24326241134754,12.28723404255319,104.53049645390075,2.2127659574468086,13.266666666666666,57.81666666666667,1,31.65,13.266666666666666,1,61.516666666666666,89.96666666666667,2.0,3,0,0
8,石岩街道,41.260784313725495,17.457843137254905,26.27303921568627,84.99166666666667,19.044117647058822,104.0357843137255,1.088235294117647,11.0,47.81666666666666,0,47.81666666666666,11.0,0,40.00833333333333,75.89999999999999,1.0,16,0,0
9,松岗街道,67.06124031007754,29.20348837209303,9.320155038759689,105.58488372093021,9.186046511627907,114.77093023255813,0.9069767441860465,3.0,37.233333333333334,0,37.233333333333334,3.0,0,69.03333333333333,98.38333333333333,1.0,7,0,0
