,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,凤凰街道,51.039795918367346,24.13877551020409,17.882653061224488,93.06122448979592,15.510204081632653,108.57142857142856,0.9591836734693877,3.0,28.516666666666666,0,28.516666666666666,3.0,0,47.233333333333334,83.11666666666666,1.0,20,0,0
1,玉塘街道,49.675,25.40555555555555,43.83888888888888,118.91944444444442,20.069444444444443,138.9888888888889,1.0277777777777777,3.0,266.58333333333337,0,48.349999999999994,6.0,0,44.858333333333334,112.30833333333334,1.0,33,0,0
2,光明街道,51.89384057971014,32.79021739130434,24.5713768115942,109.25543478260867,18.695652173913043,127.95108695652172,0.9565217391304348,8.0,38.516666666666666,0,38.516666666666666,8.0,0,49.95833333333333,106.28333333333333,1.0,23,0,0
3,公明街道,58.63250000000001,28.453333333333337,37.75666666666667,124.84250000000002,19.937083333333334,144.7795833333334,0.975,12.0,50.78333333333333,0,50.78333333333333,12.0,0,55.11666666666667,111.43333333333334,1.0,29,0,0
4,新湖街道,59.987500000000004,36.22291666666667,34.258854166666666,130.46927083333335,19.453125,149.92239583333335,0.84375,21.0,115.38333333333333,0,61.41666666666667,25.483333333333334,1,51.11666666666667,132.6,1.0,37,0,0
5,马田街道,60.7436507936508,22.076190476190476,28.079365079365083,110.89920634920637,19.4047619047619,130.30396825396824,0.9523809523809523,14.0,43.75,0,43.75,14.0,0,56.13333333333333,99.825,1.0,27,0,0
6,福永街道,61.206289308176075,20.994339622641505,17.967295597484274,100.16792452830187,17.735849056603772,117.90377358490566,1.150943396226415,8.0,33.583333333333336,0,33.583333333333336,8.0,0,57.983333333333334,85.91666666666667,1.0,16,0,0
7,福海街道,57.034126984127006,20.970105820105815,15.697619047619048,93.70185185185184,12.857142857142858,106.5589947089947,1.8888888888888888,7.266666666666667,76.83333333333333,1,35.9,13.266666666666666,1,52.55,79.15,2.0,6,0,0
8,石岩街道,34.184074074074076,20.009259259259256,36.1537037037037,90.34703703703703,17.61111111111111,107.95814814814815,0.7555555555555555,8.0,76.96666666666667,0,46.45,11.0,0,31.0,76.96666666666667,1.0,24,0,0
9,松岗街道,65.01925287356322,27.565804597701145,14.428735632183908,107.01379310344828,10.129310344827589,117.14310344827588,0.9137931034482759,6.0,35.05,0,35.05,6.0,0,65.16666666666666,94.7,1.0,11,0,0
10,西乡街道,44.826190476190476,29.577777777777772,31.692063492063497,106.09603174603174,16.428571428571427,122.52460317460319,0.5238095238095238,8.0,41.233333333333334,0,41.233333333333334,8.0,0,37.0,102.71666666666667,1.0,48,0,0
11,燕罗街道,57.797988505747135,53.50373563218392,32.75172413793103,144.05344827586208,19.78448275862069,163.83793103448278,0.7068965517241379,8.0,90.36666666666667,0,76.13333333333333,11.0,0,63.141666666666666,137.30833333333334,1.0,11,0,0
12,航城街道,61.14952380952381,21.375238095238092,26.250952380952373,108.7757142857143,19.856666666666666,128.6323809523809,1.1142857142857143,4.0,36.75,0,36.75,4.0,0,62.63333333333333,96.96666666666668,1.0,34,0,0
13,沙井街道,55.175925925925924,35.11888888888889,43.56259259259258,133.8574074074074,18.444444444444443,152.30185185185184,1.0444444444444445,3.0,283.6,0,73.1,20.483333333333334,1,58.483333333333334,119.11666666666667,1.0,24,0,0
14,新安街道,48.70641025641025,27.454487179487177,10.509615384615385,86.67051282051278,9.134615384615383,95.80512820512817,0.7307692307692307,11.0,33.5,0,33.5,11.0,0,51.391666666666666,82.63333333333334,1.0,43,0,0
15,新桥街道,49.86904761904761,22.030952380952378,23.548809523809524,95.4488095238095,12.85714285714286,108.30595238095236,0.7142857142857143,7.0,49.333333333333336,0,49.333333333333336,7.0,0,51.04166666666667,87.25833333333333,1.0,55,0,0
16,沙头角街道,45.80975609756099,48.39878048780487,18.442276422764223,112.65081300813006,17.378048780487806,130.02886178861786,0.6341463414634146,5.0,67.23333333333333,0,63.166666666666664,5.0,0,47.0,116.05,1.0,28,0,0
17,梅沙街道,57.705555555555556,22.208796296296292,25.9050925925926,105.81944444444444,16.666666666666668,122.48611111111111,0.9444444444444444,7.0,79.26666666666667,0,62.266666666666666,29.183333333333334,1,61.91666666666667,107.28333333333333,1.0,33,0,0
18,民治街道,32.039855072463766,25.330797101449285,10.419565217391305,67.79021739130435,9.021739130434783,76.81195652173912,0.43478260869565216,8.0,70.45,0,33.58333333333333,13.0,0,29.0,63.425,0.0,23,0,0
19,观澜街道,35.17098765432099,34.52901234567901,45.70617283950617,115.40617283950616,17.962345679012348,133.3685185185185,0.7037037037037037,2.0,124.19999999999999,0,52.78333333333333,7.0,0,29.066666666666666,114.76666666666665,1.0,42,0,0
20,龙华街道,39.29551282051283,22.034615384615392,14.91570512820513,76.24583333333332,10.192307692307692,86.43814102564103,0.9807692307692307,11.0,30.950000000000003,0,30.950000000000003,11.0,0,35.575,71.39166666666667,1.0,17,0,0
21,大浪街道,34.66493055555556,28.32812499999999,11.975694444444445,74.96875000000001,11.197916666666666,86.16666666666667,0.8958333333333334,7.0,39.36666666666667,0,39.36666666666667,7.0,0,31.9,67.49166666666667,1.0,21,0,0
22,观湖街道,40.340243902439035,32.62113821138212,31.598780487804877,104.560162601626,18.780487804878053,123.34065040650408,0.7560975609756098,7.0,77.19999999999999,0,54.65,14.0,0,35.63333333333333,96.48333333333332,1.0,28,0,0
23,福城街道,51.00433333333333,47.580666666666666,32.60099999999999,131.18599999999998,19.45,150.63599999999997,0.9,4.0,83.4,0,75.76666666666667,23.0,0,53.9,124.30833333333334,1.0,19,0,0
24,海山街道,55.421333333333344,25.56866666666667,10.947333333333333,91.93733333333334,9.899666666666667,101.837,1.0,2.0,23.95,0,23.95,2.0,0,59.43333333333334,95.025,1.0,19,0,0
25,盐田街道,64.06148148148151,28.707407407407402,12.011851851851851,104.78074074074074,15.555555555555555,120.33629629629627,1.1111111111111112,7.0,51.86666666666666,0,51.86666666666666,7.0,0,68.76666666666667,110.98333333333335,1.0,24,0,0
