,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,凤凰街道,46.146453900709226,22.629787234042553,9.506028368794324,78.2822695035461,15.212765957446809,93.49503546099291,1.2553191489361701,17.0,55.983333333333334,0,51.0,29.15,1,43.15,75.83333333333333,1.0,14,0,0
1,玉塘街道,43.334848484848486,21.384090909090908,32.33787878787878,97.05681818181816,19.09090909090909,116.14772727272727,1.1818181818181819,4.0,76.98333333333333,0,50.53333333333333,4.483333333333333,1,42.19166666666666,93.34166666666667,1.0,17,0,0
2,光明街道,47.23401360544221,29.505102040816322,17.602380952380955,94.34149659863944,18.009863945578232,112.35136054421764,1.0612244897959184,20.0,115.18333333333334,0,51.63333333333333,21.0,0,46.55,91.94999999999999,1.0,12,0,0
3,公明街道,56.48333333333334,26.7608843537415,25.699659863945584,108.9438775510204,19.38741496598639,128.33129251700677,1.2040816326530612,5.0,38.38333333333333,0,38.38333333333333,5.0,0,55.483333333333334,105.7,1.0,12,0,0
4,新湖街道,51.60394736842107,38.34605263157895,19.295614035087716,109.24561403508774,19.01271929824561,128.2583333333333,1.1842105263157894,7.25,120.73333333333333,1,45.36666666666667,15.0,0,51.81666666666666,112.51666666666667,1.0,23,0,0
5,马田街道,60.3034090909091,19.793939393939397,16.189393939393938,96.2867424242424,18.46590909090909,114.75265151515154,1.1136363636363635,5.0,30.3,0,30.3,5.0,0,59.141666666666666,95.81666666666666,1.0,17,0,0
6,福永街道,53.63173076923076,17.945512820512825,13.085897435897438,84.66314102564101,16.971153846153847,101.63429487179489,0.9615384615384616,10.0,32.63333333333333,0,32.63333333333333,10.0,0,56.083333333333336,81.83333333333333,1.0,9,0,0
7,福海街道,50.7844632768362,18.152542372881356,13.486723163841807,82.42372881355932,12.584463276836159,95.00819209039548,1.8135593220338984,7.266666666666667,69.35,1,31.933333333333334,17.266666666666666,1,52.5,77.93333333333334,2.0,2,0,0
8,石岩街道,34.44285714285714,16.549603174603174,29.111904761904768,80.10436507936508,17.738095238095237,97.84246031746031,0.9761904761904762,9.0,59.45,0,56.199999999999996,22.15,1,32.075,78.075,1.0,19,0,0
9,松岗街道,65.12339743589743,27.898717948717948,9.822115384615385,102.84423076923078,9.471153846153847,112.31538461538464,0.8653846153846154,30.0,53.58333333333333,0,53.58333333333333,30.0,0,66.15,99.06666666666666,1.0,9,0,0
10,西乡街道,38.87777777777778,28.285185185185185,22.40648148148148,89.56944444444446,14.999074074074075,104.56851851851853,0.5,14.4,51.599999999999994,1,51.599999999999994,14.4,1,36.0,87.99166666666667,0.5,43,0,0
11,燕罗街道,65.14965277777777,51.45069444444442,26.643055555555552,143.2434027777778,17.916666666666668,161.1600694444444,0.9166666666666666,33.0,108.16666666666666,0,108.16666666666666,33.0,0,63.641666666666666,139.75,1.0,13,0,0
12,航城街道,54.82837837837837,19.03108108108108,12.281981981981977,86.14144144144143,17.22972972972973,103.37117117117116,1.027027027027027,12.0,40.08333333333333,0,40.08333333333333,12.0,0,56.1,87.61666666666667,1.0,24,0,0
13,沙井街道,64.66222222222221,31.786666666666658,34.609629629629644,131.05851851851853,18.055185185185188,149.1137037037037,1.0666666666666667,7.483333333333333,61.266666666666666,1,61.266666666666666,7.483333333333333,1,66.51666666666667,125.3,1.0,16,0,0
