车站,站厅至站外垂直电梯位置
罗湖,4
国贸,2
老街,2
科学馆,3
华强路,2
会展中心,5
香蜜湖,2
车公庙,7
竹子林,3
侨城东,2
华侨城,2
南山,5
白石洲,2
高新园,2
深大,2
桃园,2
大新,2
鲤鱼门,1
新安,2
宝安中心,4
宝体,3
坪洲,2
西乡,3
固戍,3
后瑞,3
机场东,3
蛇口港,2
海上世界,2
水湾,2
东角头,2
湾厦,3
海月,2
登良,2
科苑,3
红树湾,1
侨城北,2
深康,2
侨香,2
香蜜,3
香梅北,3
莲花西,2
福田,7
岗厦北,2
燕南,2
大剧院,3
湖贝,2
黄贝岭,3
新秀,2
莲塘口岸,8
仙湖路,2
莲塘,2
福保,3
益田,3
石厦,4
购物公园,2
少年宫,3
莲花村,3
华新,3
通新岭,7
红岭,2
晒布,2
翠竹,2
水贝,2
草埔,4
木棉湾,3
大芬,2
丹竹头,2
六约,2
塘坑,2
横岗,3
永湖,2
荷坳,3
大运,2
爱联,3
吉祥,3
龙城广场,3
南联,2
双龙,2
赤湾,4
荔湾,2
铁路公园,2
妈湾,2
前湾公园,3
前湾,3
桂湾,2
前海湾,3
临海,2
宝华,2
翻身,2
灵芝,3
洪浪北,2
兴东,2
留仙洞,2
大学城,3
塘朗,3
长岭陂,4
民治,2
五和,8
坂田,3
杨美,2
上水径,2
下水径,2
长龙,2
布吉,2
百鸽笼,3
布心,2
太安,2
怡景,2
体育中心,3
翰岭,2
梅林关,2
红山,2
上芬,3
元芬,3
阳台山东,3
官田,3
上屋,3
长圳,4
凤凰城,3
光明大街,2
光明,3
科学公园,3
楼村,3
红花山,3
公明广场,6
合水口,4
薯田埔,3
松岗公园,3
溪头,2
西丽湖,2
西丽,5
茶光,2
珠光,2
龙井,2
桃源村,3
深云,3
安托山,3
农林,2
上沙,2
沙尾,2
皇岗村,2
皇岗口岸,4
赤尾,3
华强南,2
华强北,4
黄木岗,2
八卦岭,4
笋岗,2
洪湖,3
田贝,2
梧桐山南,5
沙头角,3
海山,3
盐田港西,5
深外高中,6
盐田路,7
梦海,2
怡海,2
荔林,4
南油西,3
南油,3
南山书城,2
深大南,2
粤海门,2
高新南,2
红树湾南,4
深湾,2
深圳湾公园,4
下沙,3
香梅,2
景田,4
梅景,3
下梅林,2
梅村,2
上梅林,2
孖岭,6
银湖,2
泥岗,2
红岭北,3
园岭,3
红岭南,2
鹿丹村,3
人民南,2
向西村,3
文锦,2
福田口岸,4
福民,7
岗厦,5
冬瓜岭,4
雅宝,2
南坑,3
光雅园,3
坂田北,3
贝尔路,3
华为,3
岗头,3
雪象,2
甘坑,3
凉帽山,3
上李朗,3
木古,3
华南城,2
禾花,2
平湖,3
双拥街,2
后海,3
南山,4
宝安,3
碧海湾,3
机场,6
机场北,2
福永,3
桥头,3
塘尾,3
马安山,3
沙井,3
后亭,4
松岗,5
碧头,3
市民中心,5
莲花北,2
民乐,3
白石龙,2
深圳北,8
上塘,2
龙胜,2
龙华,2
清湖,2
清湖北,3
竹村,3
茜坑,3
长湖,4
观澜,3
松元厦,5
观澜湖,3
牛湖,3
国展中心南,4
