,车站,lat,lng,geometry
0,罗湖,22.537936,114.125317,POINT (114.125317 22.537936)
1,国贸,22.546055,114.125156,POINT (114.125156 22.546055)
2,老街,22.55087,114.122738,POINT (114.122738 22.55087)
3,大剧院,22.547971,114.114678,POINT (114.114678 22.547971)
4,科学馆,22.546109,114.102113,POINT (114.102113 22.546109)
5,华强路,22.546355,114.09171,POINT (114.09171 22.546355)
6,岗厦,22.540518,114.072207,POINT (114.072207 22.540518)
7,会展中心,22.540331,114.067692,POINT (114.067692 22.540331)
8,购物公园,22.540108,114.060562,POINT (114.060562 22.540108)
9,香蜜湖,22.544666,114.045221,POINT (114.045221 22.544666)
10,车公庙,22.541996,114.03365,POINT (114.03365 22.541996)
11,竹子林,22.539593,114.020418,POINT (114.020418 22.539593)
12,侨城东,22.538687,114.003193,POINT (114.003193 22.538687)
13,华侨城,22.539709,113.991722,POINT (113.991722 22.539709)
14,世界之窗,22.542891,113.980583,POINT (113.980583 22.542891)
15,白石洲,22.545597,113.973369,POINT (113.973369 22.545597)
16,高新园,22.546035,113.960423,POINT (113.960423 22.546035)
17,深大,22.54387,113.950339,POINT (113.950339 22.54387)
18,桃园,22.538089,113.931322,POINT (113.931322 22.538089)
19,大新,22.538102,113.921714,POINT (113.921714 22.538102)
20,鲤鱼门,22.538211,113.909832,POINT (113.909832 22.538211)
21,前海湾,22.542733,113.904232,POINT (113.904232 22.542733)
22,新安,22.553954,113.900891,POINT (113.900891 22.553954)
23,宝安中心,22.560836,113.893654,POINT (113.893654 22.560836)
24,宝体,22.566541,113.887784,POINT (113.887784 22.566541)
25,坪洲,22.575276,113.877227,POINT (113.877227 22.575276)
26,西乡,22.581735,113.869117,POINT (113.869117 22.581735)
27,固戍,22.60669,113.853605,POINT (113.853605 22.60669)
28,后瑞,22.634498,113.842017,POINT (113.842017 22.634498)
29,机场东,22.652709,113.829258,POINT (113.829258 22.652709)
30,赤湾,22.485483,113.904203,POINT (113.904203 22.485483)
31,蛇口港,22.4826,113.918663,POINT (113.918663 22.4826)
32,海上世界,22.491116,113.92165,POINT (113.92165 22.491116)
33,水湾,22.494247,113.926343,POINT (113.926343 22.494247)
34,东角头,22.491948,113.93766,POINT (113.93766 22.491948)
35,湾厦,22.499032,113.945229,POINT (113.945229 22.499032)
36,海月,22.505611,113.944315,POINT (113.944315 22.505611)
37,登良,22.514872,113.944351,POINT (113.944351 22.514872)
38,后海,22.523707,113.947799,POINT (113.947799 22.523707)
39,科苑,22.532669,113.953068,POINT (113.953068 22.532669)
40,红树湾,22.531056,113.975165,POINT (113.975165 22.531056)
41,世界之窗,22.542891,113.980583,POINT (113.980583 22.542891)
42,侨城北,22.55044,113.995854,POINT (113.995854 22.55044)
43,深康,22.552827,114.005578,POINT (114.005578 22.552827)
44,安托山,22.554985,114.012557,POINT (114.012557 22.554985)
45,侨香,22.555923,114.020839,POINT (114.020839 22.555923)
46,香蜜,22.558811,114.030406,POINT (114.030406 22.558811)
47,香梅北,22.560118,114.039793,POINT (114.039793 22.560118)
48,景田,22.559418,114.05003,POINT (114.05003 22.559418)
