WKT,field_1,Unnamed_ 0,name,lat,lng,district,layer,path
"POINT (114.07583 22.521671)","243","243",福田口岸,"22.521671","114.07583",地铁4号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.072814 22.529772)","244","244",福民,"22.529772","114.072814","地铁10号线;地铁4号线;地铁7号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.072207 22.540518)","245","245",岗厦地铁站,"22.540518","114.072207","3路;38路;62路;63路;80路;E10路;E20路;M198路;M224路;M329路;高峰专线23路;高峰专线29号;高快巴士27路",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.075212 22.546799)","246","246",岗厦北,"22.546799","114.075212","地铁10号线;地铁2号线;地铁8号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.074512 22.554522)","247","247",莲花村,"22.554522","114.074512","地铁10号线;地铁3号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.074191 22.565792)","248","248",冬瓜岭,"22.565792","114.074191",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.074247 22.573885)","249","249",孖岭,"22.573885","114.074247","地铁10号线;地铁9号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.06687 22.609073)","250","250",雅宝,"22.609073","114.06687",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.067048 22.61661)","251","251",南坑,"22.61661","114.067048",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.06744 22.622193)","252","252",光雅园,"22.622193","114.06744",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.067291 22.632054)","253","253",五和,"22.632054","114.067291","地铁10号线;地铁5号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.069957 22.640759)","254","254",坂田北,"22.640759","114.069957",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.072963 22.647312)","255","255",贝尔路,"22.647312","114.072963",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.073896 22.65625)","256","256",华为,"22.65625","114.073896",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.078351 22.662603)","257","257",岗头,"22.662603","114.078351",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.086485 22.66208)","258","258",雪象,"22.66208","114.086485",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.112476 22.653966)","259","259",甘坑,"22.653966","114.112476",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.1253 22.652839)","260","260",凉帽山,"22.652839","114.1253",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.133527 22.660266)","261","261",上李朗,"22.660266","114.133527",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.128906 22.676506)","262","262",木古,"22.676506","114.128906",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.128699 22.682557)","263","263",华南城,"22.682557","114.128699",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.12755 22.692145)","264","264",禾花,"22.692145","114.12755",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.132448 22.699925)","265","265",平湖,"22.699925","114.132448",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.139355 22.704901)","266","266",双拥街,"22.704901","114.139355",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"POINT (114.060784 22.545641)","267","267",福田,"22.545641","114.060784","地铁11号线;地铁2号线;地铁3号线;地铁8号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"POINT (114.03365 22.541996)","268","268",车公庙,"22.541996","114.03365","地铁11号线;地铁1号线;地铁7号线;地铁9号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"POINT (113.977916 22.529139)","269","269",红树湾南,"22.529139","113.977916","地铁11号线;地铁9号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"POINT (113.947799 22.523707)","270","270",后海,"22.523707","113.947799","地铁11号线;地铁2号线;地铁8号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
