,状态,车站,accessible_lavatory,盲道,站厅至站外垂直电梯位置,construction_phase,Name,线路条数（包括城际铁路）,number_of_lines,盲道设计或施工原因
1号线,1,罗湖,0,1,4,1,南湖街道,3,1,
1号线,2,国贸,0,1,2,1,南湖街道,1,1,
1号线,3,老街,1,1,2,1,东门街道,2,2,
1号线,5,科学馆,2,1,3,1,南园街道,2,2,
1号线,6,华强路,0,1,2,1,福田街道,1,1,
1号线,8,会展中心,1,1,5,1,福海街道,2,2,
1号线,10,香蜜湖,1,1,2,1,香蜜湖街道,1,1,
1号线,11,车公庙,4,1,7,1,香蜜湖街道,4,4,
1号线,12,竹子林,0,1,3,1,香蜜湖街道,1,1,
1号线,13,侨城东,1,1,2,1,香蜜湖街道,1,1,
1号线,14,华侨城,1,1,2,1,沙河街道,1,1,
1号线,15,南山,1,0.5,5,1,沙河街道,1,1,1
1号线,16,白石洲,1,1,2,2,沙河街道,1,1,
1号线,17,高新园,1,1,2,2,沙河街道,1,1,
1号线,18,深大,1,1,2,2,粤海街道,1,1,
1号线,19,桃园,1,1,2,2,粤海街道,1,1,
1号线,20,大新,1,1,2,2,南头街道,1,1,
1号线,21,鲤鱼门,1,1,1,2,南头街道,1,1,
1号线,23,新安,1,1,2,2,新安街道,1,1,
1号线,24,宝安中心,1,1,4,2,新安街道,2,2,
1号线,25,宝体,1,1,3,2,新安街道,1,1,
1号线,26,坪洲,1,1,2,2,西乡街道,1,1,
1号线,27,西乡,0,1,3,2,西乡街道,1,1,
1号线,28,固戍,1,1,3,2,西乡街道,1,1,
1号线,29,后瑞,1,1,3,2,航城街道,1,1,
1号线,30,机场东,1,1,3,2,福永街道,2,2,
2号线,2,蛇口港,1,1,2,2,蛇口街道,1,1,
2号线,3,海上世界,1,1,2,2,蛇口街道,1,1,
2号线,4,水湾,1,1,2,2,蛇口街道,1,1,
2号线,5,东角头,1,0.5,2,2,蛇口街道,1,1,0
2号线,6,湾厦,0,1,3,2,蛇口街道,1,1,
2号线,7,海月,1,0.5,2,2,招商街道,1,1,1
2号线,8,登良,1,0.5,2,2,粤海街道,1,1,0
2号线,10,科苑,1,1,3,2,沙河街道,1,1,
2号线,11,红树湾,1,0.5,1,2,沙河街道,1,1,1
2号线,13,侨城北,1,1,2,3,香蜜湖街道,1,1,
2号线,14,深康,1,0.5,2,3,香蜜湖街道,1,1,1
2号线,16,侨香,1,1,2,3,香蜜湖街道,1,1,
2号线,17,香蜜,1,1,3,3,莲花街道,1,1,
2号线,18,香梅北,1,0.5,3,3,莲花街道,1,1,0
2号线,20,莲花西,1,1,2,3,莲花街道,1,1,
2号线,21,福田,3,1,7,3,莲花街道,4,3,
2号线,23,岗厦北,1,1,2,3,华富街道,1,1,
2号线,25,燕南,1,1,2,3,华强北街道,1,1,
2号线,26,大剧院,2,1,3,3,东门街道,2,2,
2号线,27,湖贝,0,1,2,3,黄贝街道,1,1,
2号线,28,黄贝岭,1,0.5,3,3,黄贝街道,2,2,1
2号线,29,新秀,0,1,2,3,莲塘街道,1,1,
2号线,30,莲塘口岸,0,1,8,3,莲塘街道,1,1,
2号线,31,仙湖路,0,1,2,3,莲塘街道,1,1,
2号线,32,莲塘,0,1,2,3,莲塘街道,1,1,
3号线,1,福保,0,1,3,3,福保街道,1,1,
3号线,2,益田,1,1,3,3,福田街道,1,1,
3号线,3,石厦,2,1,4,3,福田街道,2,2,
3号线,4,购物公园,2,1,2,3,福田街道,2,2,
3号线,6,少年宫,2,1,3,1,华富街道,2,2,
3号线,7,莲花村,2,1,3,3,华富街道,2,2,
3号线,8,华新,1,1,3,3,园岭街道,1,1,
3号线,9,通新岭,2,1,7,3,桂园街道,2,2,
3号线,10,红岭,2,1,2,2,东门街道,2,2,
3号线,12,晒布,1,1,2,2,黄贝街道,1,1,
3号线,13,翠竹,1,1,2,2,黄贝街道,1,1,
3号线,15,水贝,1,1,2,2,东晓街道,1,1,
3号线,16,草埔,0,0.5,4,2,东晓街道,1,1,0
3号线,18,木棉湾,0,1,3,2,南湾街道,1,1,
3号线,19,大芬,0,1,2,2,南湾街道,1,1,
3号线,20,丹竹头,0,1,2,2,南湾街道,1,1,
3号线,21,六约,0,1,2,2,横岗街道,1,1,
3号线,22,塘坑,0,1,2,2,横岗街道,1,1,
3号线,23,横岗,0,1,3,2,园山街道,1,1,
3号线,24,永湖,0,1,2,2,园山街道,1,1,
3号线,25,荷坳,0,1,3,2,园山街道,1,1,
3号线,26,大运,0,1,2,2,龙城街道,1,1,
3号线,27,爱联,0,1,3,2,龙城街道,1,1,
3号线,28,吉祥,0,1,3,2,龙岗街道,1,1,
3号线,29,龙城广场,0,1,3,2,龙岗街道,1,1,
3号线,30,南联,0,1,2,2,宝龙街道,1,1,
3号线,31,双龙,0,1,2,2,宝龙街道,1,1,
5号线,1,赤湾,2,1,4,2,招商街道,2,2,
5号线,2,荔湾,1,1,2,2,南山街道,1,1,
5号线,3,铁路公园,1,0.5,2,2,南山街道,1,1,1
5号线,4,妈湾,1,1,2,2,南山街道,1,1,
